# P1 解析路径孔半径跳变归因 慢探针，支 V3_规则A关；开跑 2026-09-23 19:05:43；Linux 镜像 net8.0（预跑，待 Windows 重录）；树 wtP1 = d6ae1f6（detached），生产代码未改；4 核机器、另有子代理同机（争用下量得）
# 例 0 盘Ø56 片1（rh 25.8）hFine 2 hCoarse 11 细区半径 50 内带 0/0 压接长 40；iA 1572.1 tRoot 1107.8 tSet 1080 clamp 450 tabInsul 2.8
# 例 0 x节点(|x|<=30) -30,-28,-26,-24,-22,-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28
# 例 0 z节点(|z|<=30) -28,-26,-24,-22,-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28
例	r	Qtube	Qgen	格数	并格A	并格B	弧面数	孔面总长	带格数	带格最小覆盖率	带格最小面积	全网最小面积	覆盖率	最热格T	最热格x	最热格z	最热格i	Tmin	迭代状态
0	25.500	26.655984510082043	454.35912281007813	936	0	0	100	160.22122533307942	100	0.0032487490913538065	0.012994996365415226	0.012994996365415226	0.9999999999999998	1107.9290603620184	-26.999999999999993	-1	685	450	ok
0	25.505	26.655454871668493	454.32287878419356	936	0	0	100	160.25264125961536	100	0.0029661453894258244	0.011864581557703298	0.011864581557703298	1.0000000000000002	1107.9296826942527	-26.999999999999996	-1	685	450	ok
0	25.510	26.65494493151992	454.2866077437434	936	0	0	100	160.2840571861513	100	0.002696419971338885	0.01078567988535554	0.01078567988535554	1.0000000000000004	1107.9303034562097	-26.999999999999986	-1	685	450	ok
0	25.515	26.65445059036165	454.2503105521572	936	0	0	100	160.31547311268713	100	0.0024395697268769384	0.009758278907507753	0.009758278907507753	0.9999999999999998	1107.9309232868916	-27.000000000000014	-1	685	450	ok
0	25.520	26.653979747711645	454.21398783424945	936	0	0	100	160.346889039223	100	0.002195591550818534	0.008782366203274135	0.008782366203274135	0.9999999999999997	1107.9315409773487	-27	1	686	450	ok
0	25.525	26.653521373740713	454.17764048437147	936	0	0	100	160.37830496575896	100	0.00196448234292654	0.00785792937170616	0.00785792937170616	1.0000000000000002	1107.9321582124003	-26.999999999999982	-1	685	450	ok
0	25.530	26.653083836217665	454.14126910778117	936	0	0	100	160.40972089229484	100	0.0017462390079349332	0.006984956031739733	0.006984956031739733	1	1107.9327737210124	-27.000000000000007	1	686	450	ok
0	25.535	26.65266196867411	454.10487444828516	936	0	0	100	160.44113681883073	100	0.0015408584555394234	0.006163433822157694	0.006163433822157694	1	1107.9333883106601	-27	1	686	450	ok
0	25.540	26.65225314065887	454.06845727303465	936	0	0	100	160.47255274536673	100	0.0013483376003833795	0.005393350401533518	0.005393350401533518	1.0000000000000007	1107.9340023866866	-27.000000000000018	1	686	450	ok
0	25.545	26.65186105064178	454.03201815403435	936	0	0	100	160.50396867190258	100	0.001168673362047863	0.004674693448191452	0.004674693448191452	1.0000000000000004	1107.9346154221785	-26.999999999999986	1	686	450	ok
