# P1 解析路径孔半径跳变归因 慢探针，支 V0_生产hF2；开跑 2026-09-23 19:02:44；Linux 镜像 net8.0（预跑，待 Windows 重录）；树 wtP1 = d6ae1f6（detached），生产代码未改；4 核机器、另有子代理同机（争用下量得）
# 例 0 盘Ø56 片1（rh 25.8）hFine 2 hCoarse 11 细区半径 50 内带 0/0 压接长 40；iA 1572.1 tRoot 1107.8 tSet 1080 clamp 450 tabInsul 2.8
# 例 0 x节点(|x|<=30) -30,-28,-26,-24,-22,-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28
# 例 0 z节点(|z|<=30) -28,-26,-24,-22,-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28
例	r	Qtube	Qgen	格数	并格A	并格B	弧面数	孔面总长	带格数	带格最小覆盖率	带格最小面积	全网最小面积	覆盖率	最热格T	最热格x	最热格z	最热格i	Tmin	迭代状态
0	25.500	27.397797380495206	453.6214966385244	912	24	0	100	160.22122533307945	76	0.26308398372933506	1.0523359349173402	0.030310981213540235	1	1107.8828768115413	-25.65466903617825	-3.05778139630251	712	450	ok
0	25.505	27.38970995324921	453.5926937425528	912	24	0	100	160.25264125961536	76	0.26058141399663465	1.0423256559865386	0.030310981213540235	1.0000000000000002	1107.8819197059731	-25.657162978431288	-3.058198567207534	712	450	ok
0	25.510	27.381612754151888	453.5638882289281	912	24	0	100	160.2840571861513	76	0.2580788452740742	1.0323153810962968	0.030310981213540235	1.0000000000000004	1107.880967943292	-25.659656550600886	-3.058621978861432	712	450	ok
0	25.515	27.373512718939256	453.5350805373741	912	24	0	100	160.31547311268716	76	0.2555762775610637	1.0223051102442549	0.030310981213540235	1	1107.8800212659785	-25.66214974449401	-3.059051772251246	712	450	ok
0	25.520	27.36540676846405	453.50627126011966	912	24	0	100	160.34688903922302	76	0.25307371085700303	1.0122948434280121	0.030310981213540235	0.9999999999999998	1107.8790797783504	-25.664642551668774	-3.0594880926431065	712	450	ok
0	25.525	27.35729681541982	453.47746092375536	912	24	0	100	160.37830496575899	76	0.2505711451613002	1.0022845806452008	0.030310981213540235	1.0000000000000004	1107.8781434066705	-25.667134963425116	-3.059931089745837	712	450	ok
0	25.530	27.34917601520338	453.4486501976675	912	24	0	100	160.4097208922948	76	0.24806858047335523	0.9922743218934209	0.030310981213540235	0.9999999999999998	1107.8772123773058	-25.669626970794557	3.0603809178820804	715	450	ok
0	25.535	27.341050044069075	453.41983954268954	912	24	0	100	160.44113681883073	76	0.24556601679257994	0.9822640671703198	0.030310981213540235	1	1107.8762865077424	-25.67211856453004	3.0608377361674304	715	450	ok
0	25.540	27.33291449965712	453.3910296243947	912	24	0	100	160.47255274536673	76	0.2430634541183798	0.9722538164735192	0.030310981213540235	1.0000000000000007	1107.8766440521088	-27.000000000000018	1	686	450	ok
0	25.545	27.324770040910526	453.3622210085717	912	24	0	100	160.50396867190258	76	0.24056089245015638	0.9622435698006255	0.030310981213540235	1.0000000000000004	1107.8779867211676	-26.999999999999986	1	686	450	ok
0	25.550	27.316613501391714	453.33341433359953	912	24	0	100	160.53538459843836	76	0.23805833178732297	0.9522333271492919	0.030310981213540235	0.9999999999999994	1107.8793299431395	-26.99999999999999	1	686	450	ok
0	25.555	27.30845185699923	453.3046100973394	912	24	0	100	160.56680052497427	76	0.235555772129285	0.94222308851714	0.030310981213540235	0.9999999999999997	1107.8806726308737	-26.999999999999986	1	686	450	ok
0	25.560	27.30027684673996	453.27580902966946	912	24	0	100	160.5982164515102	76	0.23305321347544952	0.9322128539017981	0.030310981213540235	1	1107.8820159667205	-26.999999999999996	1	686	450	ok
0	25.565	27.2920903350359	453.2470117205908	912	24	0	100	160.6296323780462	76	0.2305506558252252	0.9222026233009007	0.030310981213540235	1.0000000000000004	1107.8833596232616	-27.000000000000004	-1	685	450	ok
0	25.570	27.2838916905851	453.2182188069217	912	24	0	100	160.66104830458207	76	0.22804809917802288	0.9121923967120915	0.030310981213540235	1.0000000000000004	1107.8847036530317	-27.000000000000004	1	686	450	ok
0	25.575	27.275677724339015	453.1894309713879	912	24	0	100	160.69246423111795	76	0.2255455435332527	0.9021821741330108	0.030310981213540235	1.0000000000000002	1107.8860484699844	-26.999999999999982	1	686	450	ok
0	25.580	27.26745272404383	453.16064879542654	912	24	0	100	160.72388015765384	76	0.2230429888903222	0.8921719555612888	0.030310981213540235	1.0000000000000002	1107.8873933970233	-27.000000000000004	1	686	450	ok
