# P1 解析路径孔半径跳变归因 慢探针，支 V1_生产hF1；开跑 2026-09-23 19:04:12；Linux 镜像 net8.0（预跑，待 Windows 重录）；树 wtP1 = d6ae1f6（detached），生产代码未改；4 核机器、另有子代理同机（争用下量得）
# 例 0 盘Ø56 片1（rh 25.8）hFine 1 hCoarse 11 细区半径 50 内带 0/0 压接长 40；iA 1572.1 tRoot 1107.8 tSet 1080 clamp 450 tabInsul 2.8
# 例 0 x节点(|x|<=30) -30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
# 例 0 z节点(|z|<=30) -28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
例	r	Qtube	Qgen	格数	并格A	并格B	弧面数	孔面总长	带格数	带格最小覆盖率	带格最小面积	全网最小面积	覆盖率	最热格T	最热格x	最热格z	最热格i	Tmin	迭代状态
0	25.500	27.8358830629922	453.10807056017944	2912	56	0	204	160.22122533307956	148	0.33772561474374513	0.33772561474374513	0.02331257282773927	1.0000000000000007	1107.8849432168904	-26.5	0.5	2156	450	ok
0	25.505	27.827013506732914	453.08019779022703	2912	56	0	204	160.25264125961536	148	0.3323372467314065	0.3323372467314065	0.02331257282773927	1.0000000000000002	1107.8852684852307	-26.499999999999996	-0.5	2155	450	ok
0	25.510	27.81809222149357	453.052375874897	2912	56	0	204	160.2840571861513	148	0.3269490492376964	0.3269490492376964	0.02331257282773927	1.0000000000000004	1107.885593267391	-26.499999999999996	-0.5	2155	450	ok
0	25.515	27.809101215628175	453.02460676457395	2912	56	0	204	160.31547311268713	148	0.3215610221461244	0.3215610221461244	0.02331257282773927	0.9999999999999998	1107.8859188143906	-26.500000000000014	0.5	2156	450	ok
0	25.520	27.80004681014571	452.99689239351204	2912	56	0	204	160.346889039223	148	0.3161731653402942	0.3161731653402942	0.02331257282773927	0.9999999999999997	1107.8862447429228	-26.5	0.5	2156	450	ok
0	25.525	27.79093121553902	452.96923484326817	2912	56	0	204	160.37830496575893	148	0.3107854787039293	0.3107854787039293	0.02331257282773927	1	1107.886570810488	-26.500000000000007	-0.5	2155	450	ok
0	25.530	27.781738309306807	452.9416364491309	2912	56	0	204	160.4097208922949	148	0.30539796212084763	0.30539796212084763	0.02331257282773927	1.0000000000000004	1107.8868982388497	-26.500000000000007	0.5	2156	450	ok
0	25.535	27.772483002132947	452.9140995197917	2912	56	0	204	160.44113681883064	148	0.30001061547500657	0.30001061547500657	0.02331257282773927	0.9999999999999994	1107.8872259624113	-26.49999999999999	0.5	2156	450	ok
0	25.540	27.76314318450852	452.8866267425853	2912	56	0	204	160.47255274536667	148	0.29462343865044544	0.29462343865044544	0.02331257282773927	1.0000000000000004	1107.887555289438	-26.5	0.5	2156	450	ok
0	25.545	27.753732872133845	452.85922079478775	2912	56	0	204	160.5039686719026	148	0.28923643153131334	0.28923643153131334	0.02331257282773927	1.0000000000000004	1107.8878855663597	-26.500000000000007	-0.5	2155	450	ok
0	25.550	27.74423776517289	452.8318847045086	2912	56	0	204	160.5353845984383	148	0.28384959400188925	0.28384959400188925	0.02331257282773927	0.9999999999999991	1107.8882175060567	-26.50000000000001	-0.5	2155	450	ok
