R48 L 路 升温三候选量探针　场转储（每片按 x 列的廓线：x 区间 / 有料面积 / 面积加权平均温度）　开跑 2026-09-17 00:00:28　2026-09-16 Opus 5
── 设定点 300 °C　夹头 100 °C　片 0「入口」　T管根 335.1355 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
24	-28	-26	120	750.595612
25	-26	-24	94.875	749.435337
26	-24	-22	73.125	748.540824
27	-22	-20	60.125	748.176925
28	-20	-18	51	748.207252
29	-18	-16	43	748.430036
30	-16	-14	36.25	748.841647
31	-14	-12	30.625	749.372543
32	-12	-10	26.5	749.984562
33	-10	-8	23.125	750.641459
34	-8	-6	20.75	751.192439
35	-6	-4	19	751.639952
36	-4	-2	16	751.933567
37	-2	0	16	752.136609
38	0	2	15.125	752.255257
39	2	4	15	752.282249
40	4	6	17.25	752.292378
41	6	8	17.5	752.287996
42	8	10	17.375	752.293995
43	10	12	17.625	752.28934
44	12	14	18.875	752.290172
45	14	16	19.375	752.300761
46	16	18	22	752.286383
47	18	20	23.875	752.283588
48	20	22	25	752.290267
49	22	24	30	752.297006
50	24	26	41	752.317158
51	26	28	51.375	752.294508
52	28	30	27.375	752.218973
── 设定点 750 °C　夹头 100 °C　片 2「出口」　T管根 846.4581 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	100
1	-133	-122	660	100
2	-122	-111	660	100
3	-111	-100	660	100
4	-100	-96.165678	230.05932	177.812082
5	-96.165678	-85.165678	660	448.621026
6	-85.165678	-75.51206	579.21708	691.566674
7	-75.51206	-68.0862	445.5516	812.323659
8	-68.0862	-62.374	342.732	871.250095
9	-62.374	-57.98	263.64	901.597185
10	-57.98	-54.6	202.8	917.82316
11	-54.6	-52	156	926.67475
12	-52	-50	120	931.526733
13	-50	-48	120	934.50587
14	-48	-46	120	936.2853
15	-46	-44	120	936.884684
16	-44	-42	120	936.302064
17	-42	-40	120	934.51184
18	-40	-38	120	931.461574
19	-38	-36	120	927.067077
20	-36	-34	120	921.20498
21	-34	-32	120	913.701501
22	-32	-30	120	904.315252
23	-30	-28	120	892.70302
24	-28	-26	120	877.129524
25	-26	-24	94.875	864.100833
26	-24	-22	73.125	854.58847
27	-22	-20	60.125	847.105606
28	-20	-18	51	841.930277
29	-18	-16	43	838.552552
30	-16	-14	36.25	836.828403
31	-14	-12	30.625	836.493579
32	-12	-10	26.5	837.275564
33	-10	-8	23.125	838.905738
34	-8	-6	20.75	840.640283
35	-6	-4	19	842.287318
36	-4	-2	16	843.454116
37	-2	0	16	844.332246
38	0	2	15.125	844.882192
39	2	4	15	845.019445
40	4	6	17.25	845.077619
41	6	8	17.5	845.05414
42	8	10	17.375	845.074472
43	10	12	17.625	845.044413
44	12	14	18.875	845.05125
45	14	16	19.375	845.110849
46	16	18	22	845.052259
47	18	20	23.875	845.047334
48	20	22	25	845.072579
49	22	24	30	845.093313
50	24	26	41	845.183932
51	26	28	51.375	845.0883
52	28	30	27.375	844.762404
── 设定点 750 °C　夹头 450 °C　片 0「入口」　T管根 810.1708 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	450
1	-133	-122	660	450
2	-122	-111	660	450
3	-111	-100	660	450
4	-100	-96.165678	230.05932	489.773026
5	-96.165678	-85.165678	660	623.464469
6	-85.165678	-75.51206	579.21708	740.743273
7	-75.51206	-68.0862	445.5516	801.194888
8	-68.0862	-62.374	342.732	831.840936
9	-62.374	-57.98	263.64	848.000829
10	-57.98	-54.6	202.8	856.694665
11	-54.6	-52	156	861.382543
12	-52	-50	120	863.872258
13	-50	-48	120	865.31309
14	-48	-46	120	866.041166
15	-46	-44	120	866.059094
16	-44	-42	120	865.359936
17	-42	-40	120	863.925934
18	-40	-38	120	861.726527
19	-38	-36	120	858.715361
20	-36	-34	120	854.825745
21	-34	-32	120	849.963704
22	-32	-30	120	843.997211
23	-30	-28	120	836.734259
24	-28	-26	120	827.080403
25	-26	-24	94.875	818.547941
26	-24	-22	73.125	812.256212
27	-22	-20	60.125	807.531917
28	-20	-18	51	804.459536
29	-18	-16	43	802.605217
30	-16	-14	36.25	801.871545
31	-14	-12	30.625	802.037465
32	-12	-10	26.5	802.916703
33	-10	-8	23.125	804.329838
34	-8	-6	20.75	805.7295
35	-6	-4	19	807.012568
36	-4	-2	16	807.910727
37	-2	0	16	808.575862
38	0	2	15.125	808.98365
39	2	4	15	809.082509
40	4	6	17.25	809.122774
41	6	8	17.5	809.10376
42	8	10	17.375	809.119042
43	10	12	17.625	809.096345
44	12	14	18.875	809.100802
45	14	16	19.375	809.143989
46	16	18	22	809.097121
47	18	20	23.875	809.091453
48	20	22	25	809.111547
49	22	24	30	809.130269
50	24	26	41	809.201142
51	26	28	51.375	809.129101
52	28	30	27.375	808.881429
── 设定点 750 °C　夹头 450 °C　片 1「HC1|HC2」　T管根 804.9281 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	450
1	-133	-122	660	450
2	-122	-111	660	450
3	-111	-100	660	450
4	-100	-96.165678	230.05932	475.568906
5	-96.165678	-85.165678	660	566.110049
6	-85.165678	-75.51206	579.21708	660.895222
7	-75.51206	-68.0862	445.5516	719.211146
8	-68.0862	-62.374	342.732	753.674839
9	-62.374	-57.98	263.64	774.650976
10	-57.98	-54.6	202.8	787.753334
11	-54.6	-52	156	796.130647
12	-52	-50	120	801.603849
13	-50	-48	120	805.729166
14	-48	-46	120	809.232056
15	-46	-44	120	812.121493
16	-44	-42	120	814.403743
17	-42	-40	120	816.081885
18	-40	-38	120	817.155072
19	-38	-36	120	817.617438
20	-36	-34	120	817.456421
21	-34	-32	120	816.650185
22	-32	-30	120	815.163573
23	-30	-28	120	812.940259
24	-28	-26	120	809.782401
25	-26	-24	94.875	807.066186
26	-24	-22	73.125	805.061541
27	-22	-20	60.125	803.579685
28	-20	-18	51	802.642936
29	-18	-16	43	802.114247
30	-16	-14	36.25	801.965054
31	-14	-12	30.625	802.117501
32	-12	-10	26.5	802.494678
33	-10	-8	23.125	803.020468
34	-8	-6	20.75	803.517618
35	-6	-4	19	803.951061
36	-4	-2	16	804.244438
37	-2	0	16	804.454113
38	0	2	15.125	804.580865
39	2	4	15	804.608613
40	4	6	17.25	804.618792
41	6	8	17.5	804.613424
42	8	10	17.375	804.619895
43	10	12	17.625	804.614512
44	12	14	18.875	804.615387
45	14	16	19.375	804.627201
46	16	18	22	804.611095
47	18	20	23.875	804.60796
48	20	22	25	804.615435
49	22	24	30	804.622979
50	24	26	41	804.645539
51	26	28	51.375	804.620181
52	28	30	27.375	804.535615
── 设定点 750 °C　夹头 450 °C　片 2「出口」　T管根 844.1485 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	450
1	-133	-122	660	450
2	-122	-111	660	450
3	-111	-100	660	450
4	-100	-96.165678	230.05932	504.844882
5	-96.165678	-85.165678	660	684.711965
6	-85.165678	-75.51206	579.21708	827.585742
7	-75.51206	-68.0862	445.5516	893.896796
8	-68.0862	-62.374	342.732	924.492685
9	-62.374	-57.98	263.64	939.11581
10	-57.98	-54.6	202.8	946.031483
11	-54.6	-52	156	949.053923
12	-52	-50	120	950.086396
13	-50	-48	120	950.132402
14	-48	-46	120	949.322564
15	-46	-44	120	947.636902
16	-44	-42	120	945.038037
17	-42	-40	120	941.468875
18	-40	-38	120	936.849147
19	-38	-36	120	931.070259
20	-36	-34	120	923.987687
21	-34	-32	120	915.40964
22	-32	-30	120	905.079894
23	-30	-28	120	892.643785
24	-28	-26	120	876.365969
25	-26	-24	94.875	863.061479
26	-24	-22	73.125	853.360334
27	-22	-20	60.125	845.667115
28	-20	-18	51	840.295604
29	-18	-16	43	836.756986
30	-16	-14	36.25	834.899541
31	-14	-12	30.625	834.460661
32	-12	-10	26.5	835.160347
33	-10	-8	23.125	836.723776
34	-8	-6	20.75	838.412532
35	-6	-4	19	840.027428
36	-4	-2	16	841.17444
37	-2	0	16	842.040086
38	0	2	15.125	842.583334
39	2	4	15	842.718159
40	4	6	17.25	842.775171
41	6	8	17.5	842.751434
42	8	10	17.375	842.77147
43	10	12	17.625	842.741401
44	12	14	18.875	842.748155
45	14	16	19.375	842.80744
46	16	18	22	842.749109
47	18	20	23.875	842.744201
48	20	22	25	842.769326
49	22	24	30	842.789965
50	24	26	41	842.880166
51	26	28	51.375	842.784974
52	28	30	27.375	842.460578
── 设定点 900 °C　夹头 100 °C　片 0「入口」　T管根 950.7089 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	100
1	-133	-122	660	100
2	-122	-111	660	100
3	-111	-100	660	100
4	-100	-96.165678	230.05932	175.454142
5	-96.165678	-85.165678	660	440.794021
6	-85.165678	-75.51206	579.21708	690.912687
7	-75.51206	-68.0862	445.5516	822.610969
8	-68.0862	-62.374	342.732	890.613189
9	-62.374	-57.98	263.64	927.84715
10	-57.98	-54.6	202.8	949.277844
11	-54.6	-52	156	962.117163
12	-52	-50	120	970.062906
13	-50	-48	120	975.774925
14	-48	-46	120	980.356821
15	-46	-44	120	983.859719
16	-44	-42	120	986.318248
17	-42	-40	120	987.748964
18	-40	-38	120	988.147781
19	-38	-36	120	987.485895
20	-36	-34	120	985.703443
21	-34	-32	120	982.699661
22	-32	-30	120	978.317456
23	-30	-28	120	972.311707
24	-28	-26	120	963.058288
25	-26	-24	94.875	952.933469
26	-24	-22	73.125	945.373161
27	-22	-20	60.125	940.259315
28	-20	-18	51	937.436031
29	-18	-16	43	936.111842
30	-16	-14	36.25	936.172604
31	-14	-12	30.625	937.269202
32	-12	-10	26.5	939.180238
33	-10	-8	23.125	941.693336
34	-8	-6	20.75	944.011453
35	-6	-4	19	946.046788
36	-4	-2	16	947.448019
37	-2	0	16	948.463663
38	0	2	15.125	949.081755
39	2	4	15	949.247538
40	4	6	17.25	949.318385
41	6	8	17.5	949.300875
42	8	10	17.375	949.324988
43	10	12	17.625	949.298257
44	12	14	18.875	949.305149
45	14	16	19.375	949.362562
46	16	18	22	949.301335
47	18	20	23.875	949.294033
48	20	22	25	949.320426
49	22	24	30	949.344984
50	24	26	41	949.437878
51	26	28	51.375	949.343426
52	28	30	27.375	949.018766
── 设定点 900 °C　夹头 100 °C　片 1「HC1|HC2」　T管根 907.989 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	100
1	-133	-122	660	100
2	-122	-111	660	100
3	-111	-100	660	100
4	-100	-96.165678	230.05932	147.510179
5	-96.165678	-85.165678	660	320.98397
6	-85.165678	-75.51206	579.21708	516.151094
7	-75.51206	-68.0862	445.5516	642.181999
8	-68.0862	-62.374	342.732	719.645786
9	-62.374	-57.98	263.64	768.702706
10	-57.98	-54.6	202.8	800.690562
11	-54.6	-52	156	822.109027
12	-52	-50	120	836.790167
13	-50	-48	120	848.39875
14	-48	-46	120	858.8865
15	-46	-44	120	868.285316
16	-44	-42	120	876.623194
17	-42	-40	120	883.923399
18	-40	-38	120	890.203334
19	-38	-36	120	895.472918
20	-36	-34	120	899.732187
21	-34	-32	120	902.967662
22	-32	-30	120	905.146687
23	-30	-28	120	906.206394
24	-28	-26	120	905.764962
25	-26	-24	94.875	903.757549
26	-24	-22	73.125	902.219481
27	-22	-20	60.125	901.516358
28	-20	-18	51	901.458481
29	-18	-16	43	901.736084
30	-16	-14	36.25	902.331468
31	-14	-12	30.625	903.129653
32	-12	-10	26.5	904.062779
33	-10	-8	23.125	905.068404
34	-8	-6	20.75	905.9145
35	-6	-4	19	906.600376
36	-4	-2	16	907.050159
37	-2	0	16	907.359874
38	0	2	15.125	907.542311
39	2	4	15	907.587475
40	4	6	17.25	907.605253
41	6	8	17.5	907.600784
42	8	10	17.375	907.609837
43	10	12	17.625	907.604029
44	12	14	18.875	907.605358
45	14	16	19.375	907.620027
46	16	18	22	907.600328
47	18	20	23.875	907.596511
48	20	22	25	907.605685
49	22	24	30	907.614937
50	24	26	41	907.642593
51	26	28	51.375	907.611507
52	28	30	27.375	907.507838
── 设定点 900 °C　夹头 100 °C　片 2「出口」　T管根 987.9504 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	100
1	-133	-122	660	100
2	-122	-111	660	100
3	-111	-100	660	100
4	-100	-96.165678	230.05932	198.353078
5	-96.165678	-85.165678	660	537.364333
6	-85.165678	-75.51206	579.21708	822.457516
7	-75.51206	-68.0862	445.5516	954.335403
8	-68.0862	-62.374	342.732	1015.345034
9	-62.374	-57.98	263.64	1045.658087
10	-57.98	-54.6	202.8	1061.506586
11	-54.6	-52	156	1070.040295
12	-52	-50	120	1074.685909
13	-50	-48	120	1077.529786
14	-48	-46	120	1079.228551
15	-46	-44	120	1079.806576
16	-44	-42	120	1079.260627
17	-42	-40	120	1077.557085
18	-40	-38	120	1074.62736
19	-38	-36	120	1070.360714
20	-36	-34	120	1064.593309
21	-34	-32	120	1057.091621
22	-32	-30	120	1047.527088
23	-30	-28	120	1035.425664
24	-28	-26	120	1018.183263
25	-26	-24	94.875	1001.945935
26	-24	-22	73.125	989.99637
27	-22	-20	60.125	981.189641
28	-20	-18	51	975.605214
29	-18	-16	43	972.315949
30	-16	-14	36.25	971.140729
31	-14	-12	30.625	971.660246
32	-12	-10	26.5	973.535292
33	-10	-8	23.125	976.431654
34	-8	-6	20.75	979.273092
35	-6	-4	19	981.854351
36	-4	-2	16	983.65396
37	-2	0	16	984.980857
38	0	2	15.125	985.807057
39	2	4	15	986.033826
40	4	6	17.25	986.133635
41	6	8	17.5	986.113037
42	8	10	17.375	986.144918
43	10	12	17.625	986.109891
44	12	14	18.875	986.120183
45	14	16	19.375	986.198722
46	16	18	22	986.12285
47	18	20	23.875	986.11662
48	20	22	25	986.149503
49	22	24	30	986.176473
50	24	26	41	986.294243
51	26	28	51.375	986.169913
52	28	30	27.375	985.746317
── 设定点 900 °C　夹头 450 °C　片 0「入口」　T管根 951.5834 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	450
1	-133	-122	660	450
2	-122	-111	660	450
3	-111	-100	660	450
4	-100	-96.165678	230.05932	504.962612
5	-96.165678	-85.165678	660	688.413651
6	-85.165678	-75.51206	579.21708	843.142143
7	-75.51206	-68.0862	445.5516	919.694393
8	-68.0862	-62.374	342.732	957.572973
9	-62.374	-57.98	263.64	977.447042
10	-57.98	-54.6	202.8	988.298442
11	-54.6	-52	156	994.366672
12	-52	-50	120	997.800312
13	-50	-48	120	1000.002356
14	-48	-46	120	1001.445501
15	-46	-44	120	1002.14236
16	-44	-42	120	1002.092386
17	-42	-40	120	1001.280128
18	-40	-38	120	999.67248
19	-38	-36	120	997.214429
20	-36	-34	120	993.822547
21	-34	-32	120	989.375018
22	-32	-30	120	983.696144
23	-30	-28	120	976.524606
24	-28	-26	120	966.218132
25	-26	-24	94.875	955.612157
26	-24	-22	73.125	947.716358
27	-22	-20	60.125	942.259043
28	-20	-18	51	939.132734
29	-18	-16	43	937.568113
30	-16	-14	36.25	937.4403
31	-14	-12	30.625	938.399959
32	-12	-10	26.5	940.21343
33	-10	-8	23.125	942.657546
34	-8	-6	20.75	944.934693
35	-6	-4	19	946.945565
36	-4	-2	16	948.333287
37	-2	0	16	949.341783
38	0	2	15.125	949.956984
39	2	4	15	950.121374
40	4	6	17.25	950.191514
41	6	8	17.5	950.173641
42	8	10	17.375	950.197607
43	10	12	17.625	950.170698
44	12	14	18.875	950.177553
45	14	16	19.375	950.23502
46	16	18	22	950.173688
47	18	20	23.875	950.166369
48	20	22	25	950.192801
49	22	24	30	950.217396
50	24	26	41	950.310435
51	26	28	51.375	950.215835
52	28	30	27.375	949.890667
── 设定点 900 °C　夹头 450 °C　片 1「HC1|HC2」　T管根 945.8999 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	450
1	-133	-122	660	450
2	-122	-111	660	450
3	-111	-100	660	450
4	-100	-96.165678	230.05932	485.75054
5	-96.165678	-85.165678	660	612.041591
6	-85.165678	-75.51206	579.21708	742.509429
7	-75.51206	-68.0862	445.5516	821.566563
8	-68.0862	-62.374	342.732	867.856137
9	-62.374	-57.98	263.64	895.94996
10	-57.98	-54.6	202.8	913.542971
11	-54.6	-52	156	924.866047
12	-52	-50	120	932.333655
13	-50	-48	120	938.024767
14	-48	-46	120	942.9354
15	-46	-44	120	947.083366
16	-44	-42	120	950.48226
17	-42	-40	120	953.140776
18	-40	-38	120	955.061692
19	-38	-36	120	956.240332
20	-36	-34	120	956.662232
21	-34	-32	120	956.299523
22	-32	-30	120	955.105272
23	-30	-28	120	953.002302
24	-28	-26	120	949.645719
25	-26	-24	94.875	946.23525
26	-24	-22	73.125	943.69693
27	-22	-20	60.125	942.003029
28	-20	-18	51	941.099115
29	-18	-16	43	940.726198
30	-16	-14	36.25	940.842613
31	-14	-12	30.625	941.323325
32	-12	-10	26.5	942.064956
33	-10	-8	23.125	942.969175
34	-8	-6	20.75	943.778577
35	-6	-4	19	944.459833
36	-4	-2	16	944.914243
37	-2	0	16	945.232801
38	0	2	15.125	945.424197
39	2	4	15	945.470923
40	4	6	17.25	945.48919
41	6	8	17.5	945.484085
42	8	10	17.375	945.493624
43	10	12	17.625	945.48728
44	12	14	18.875	945.488667
45	14	16	19.375	945.504365
46	16	18	22	945.483241
47	18	20	23.875	945.479145
48	20	22	25	945.488978
49	22	24	30	945.498895
50	24	26	41	945.528542
51	26	28	51.375	945.495217
52	28	30	27.375	945.384084
── 设定点 900 °C　夹头 450 °C　片 2「出口」　T管根 985.6652 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	450
1	-133	-122	660	450
2	-122	-111	660	450
3	-111	-100	660	450
4	-100	-96.165678	230.05932	523.91198
5	-96.165678	-85.165678	660	763.813842
6	-85.165678	-75.51206	579.21708	943.671506
7	-75.51206	-68.0862	445.5516	1022.422477
8	-68.0862	-62.374	342.732	1057.494158
9	-62.374	-57.98	263.64	1074.114538
10	-57.98	-54.6	202.8	1082.163354
11	-54.6	-52	156	1085.956859
12	-52	-50	120	1087.566523
13	-50	-48	120	1088.119339
14	-48	-46	120	1087.830243
15	-46	-44	120	1086.683564
16	-44	-42	120	1084.641004
17	-42	-40	120	1081.638371
18	-40	-38	120	1077.580545
19	-38	-36	120	1072.33392
20	-36	-34	120	1065.715159
21	-34	-32	120	1057.474406
22	-32	-30	120	1047.269869
23	-30	-28	120	1034.617531
24	-28	-26	120	1016.917091
25	-26	-24	94.875	1000.518422
26	-24	-22	73.125	988.461309
27	-22	-20	60.125	979.526623
28	-20	-18	51	973.817783
29	-18	-16	43	970.423911
30	-16	-14	36.25	969.158699
31	-14	-12	30.625	969.604738
32	-12	-10	26.5	971.418276
33	-10	-8	23.125	974.261522
34	-8	-6	20.75	977.06441
35	-6	-4	19	979.617204
36	-4	-2	16	981.398759
37	-2	0	16	982.713819
38	0	2	15.125	983.533305
39	2	4	15	983.757686
40	4	6	17.25	983.856358
41	6	8	17.5	983.835536
42	8	10	17.375	983.867124
43	10	12	17.625	983.832111
44	12	14	18.875	983.842319
45	14	16	19.375	983.920516
46	16	18	22	983.844934
47	18	20	23.875	983.838723
48	20	22	25	983.871474
49	22	24	30	983.898338
50	24	26	41	984.015643
51	26	28	51.375	983.891804
52	28	30	27.375	983.469877
── 设定点 1000 °C　夹头 100 °C　片 0「入口」　T管根 1044.4267 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	100
1	-133	-122	660	100
2	-122	-111	660	100
3	-111	-100	660	100
4	-100	-96.165678	230.05932	186.876739
5	-96.165678	-85.165678	660	490.859432
6	-85.165678	-75.51206	579.21708	768.297801
7	-75.51206	-68.0862	445.5516	909.04354
8	-68.0862	-62.374	342.732	979.703013
9	-62.374	-57.98	263.64	1017.666589
10	-57.98	-54.6	202.8	1039.269615
11	-54.6	-52	156	1052.138851
12	-52	-50	120	1060.090743
13	-50	-48	120	1065.81462
14	-48	-46	120	1070.427458
15	-46	-44	120	1073.990223
16	-44	-42	120	1076.544666
17	-42	-40	120	1078.111568
18	-40	-38	120	1078.687714
19	-38	-36	120	1078.240981
20	-36	-34	120	1076.702588
21	-34	-32	120	1073.954984
22	-32	-30	120	1069.812797
23	-30	-28	120	1063.983384
24	-28	-26	120	1054.40007
25	-26	-24	94.875	1042.74917
26	-24	-22	73.125	1033.991134
27	-22	-20	60.125	1028.371358
28	-20	-18	51	1025.574864
29	-18	-16	43	1024.539149
30	-16	-14	36.25	1025.129685
31	-14	-12	30.625	1026.894639
32	-12	-10	26.5	1029.577314
33	-10	-8	23.125	1032.932486
34	-8	-6	20.75	1035.964152
35	-6	-4	19	1038.588886
36	-4	-2	16	1040.386132
37	-2	0	16	1041.678699
38	0	2	15.125	1042.464921
39	2	4	15	1042.685828
40	4	6	17.25	1042.78213
41	6	8	17.5	1042.766961
42	8	10	17.375	1042.798234
43	10	12	17.625	1042.769046
44	12	14	18.875	1042.7779
45	14	16	19.375	1042.845884
46	16	18	22	1042.774158
47	18	20	23.875	1042.765678
48	20	22	25	1042.796702
49	22	24	30	1042.825542
50	24	26	41	1042.934592
51	26	28	51.375	1042.823693
52	28	30	27.375	1042.442545
── 设定点 1000 °C　夹头 100 °C　片 1「HC1|HC2」　T管根 1008.7778 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	100
1	-133	-122	660	100
2	-122	-111	660	100
3	-111	-100	660	100
4	-100	-96.165678	230.05932	155.267157
5	-96.165678	-85.165678	660	356.555734
6	-85.165678	-75.51206	579.21708	579.859443
7	-75.51206	-68.0862	445.5516	721.406643
8	-68.0862	-62.374	342.732	807.049768
9	-62.374	-57.98	263.64	860.633151
10	-57.98	-54.6	202.8	895.257801
11	-54.6	-52	156	918.286992
12	-52	-50	120	933.993791
13	-50	-48	120	946.367049
14	-48	-46	120	957.504811
15	-46	-44	120	967.449988
16	-44	-42	120	976.240157
17	-42	-40	120	983.90659
18	-40	-38	120	990.472905
19	-38	-36	120	995.953118
20	-36	-34	120	1000.34874
21	-34	-32	120	1003.644358
22	-32	-30	120	1005.800733
23	-30	-28	120	1006.741166
24	-28	-26	120	1005.968319
25	-26	-24	94.875	1003.327564
26	-24	-22	73.125	1001.304004
27	-22	-20	60.125	1000.375308
28	-20	-18	51	1000.29862
29	-18	-16	43	1000.668482
30	-16	-14	36.25	1001.454817
31	-14	-12	30.625	1002.503523
32	-12	-10	26.5	1003.723071
33	-10	-8	23.125	1005.030878
34	-8	-6	20.75	1006.128803
35	-6	-4	19	1007.015557
36	-4	-2	16	1007.596226
37	-2	0	16	1007.994561
38	0	2	15.125	1008.230009
39	2	4	15	1008.291155
40	4	6	17.25	1008.31582
41	6	8	17.5	1008.311827
42	8	10	17.375	1008.323376
43	10	12	17.625	1008.316935
44	12	14	18.875	1008.318689
45	14	16	19.375	1008.336359
46	16	18	22	1008.31282
47	18	20	23.875	1008.308271
48	20	22	25	1008.319253
49	22	24	30	1008.330324
50	24	26	41	1008.363411
51	26	28	51.375	1008.326218
52	28	30	27.375	1008.202192
── 设定点 1000 °C　夹头 100 °C　片 2「出口」　T管根 1080.5566 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	100
1	-133	-122	660	100
2	-122	-111	660	100
3	-111	-100	660	100
4	-100	-96.165678	230.05932	212.676186
5	-96.165678	-85.165678	660	598.392486
6	-85.165678	-75.51206	579.21708	908.331089
7	-75.51206	-68.0862	445.5516	1044.995943
8	-68.0862	-62.374	342.732	1106.063369
9	-62.374	-57.98	263.64	1135.730298
10	-57.98	-54.6	202.8	1151.049051
11	-54.6	-52	156	1159.26085
12	-52	-50	120	1163.740989
13	-50	-48	120	1166.507106
14	-48	-46	120	1168.201018
15	-46	-44	120	1168.851053
16	-44	-42	120	1168.454956
17	-42	-40	120	1166.976583
18	-40	-38	120	1164.340301
19	-38	-36	120	1160.422108
20	-36	-34	120	1155.035983
21	-34	-32	120	1147.913107
22	-32	-30	120	1138.670014
23	-30	-28	120	1126.745054
24	-28	-26	120	1108.841479
25	-26	-24	94.875	1090.440909
26	-24	-22	73.125	1076.814475
27	-22	-20	60.125	1067.201301
28	-20	-18	51	1061.499985
29	-18	-16	43	1058.443707
30	-16	-14	36.25	1057.828914
31	-14	-12	30.625	1059.114594
32	-12	-10	26.5	1061.917645
33	-10	-8	23.125	1065.859411
34	-8	-6	20.75	1069.603517
35	-6	-4	19	1072.940157
36	-4	-2	16	1075.249942
37	-2	0	16	1076.936921
38	0	2	15.125	1077.985541
39	2	4	15	1078.287056
40	4	6	17.25	1078.422004
41	6	8	17.5	1078.405629
42	8	10	17.375	1078.446981
43	10	12	17.625	1078.409266
44	12	14	18.875	1078.422342
45	14	16	19.375	1078.514706
46	16	18	22	1078.426492
47	18	20	23.875	1078.419362
48	20	22	25	1078.457741
49	22	24	30	1078.489191
50	24	26	41	1078.626442
51	26	28	51.375	1078.481514
52	28	30	27.375	1077.987805
── 设定点 1000 °C　夹头 450 °C　片 0「入口」　T管根 1044.577 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	450
1	-133	-122	660	450
2	-122	-111	660	450
3	-111	-100	660	450
4	-100	-96.165678	230.05932	515.584174
5	-96.165678	-85.165678	660	733.343803
6	-85.165678	-75.51206	579.21708	911.775082
7	-75.51206	-68.0862	445.5516	997.418733
8	-68.0862	-62.374	342.732	1038.967681
9	-62.374	-57.98	263.64	1060.595156
10	-57.98	-54.6	202.8	1072.446419
11	-54.6	-52	156	1079.173031
12	-52	-50	120	1083.081617
13	-50	-48	120	1085.689798
14	-48	-46	120	1087.542558
15	-46	-44	120	1088.66079
16	-44	-42	120	1089.050091
17	-42	-40	120	1088.698732
18	-40	-38	120	1087.574357
19	-38	-36	120	1085.618803
20	-36	-34	120	1082.740118
21	-34	-32	120	1078.800249
22	-32	-30	120	1073.595865
23	-30	-28	120	1066.818835
24	-28	-26	120	1056.386663
25	-26	-24	94.875	1044.352872
26	-24	-22	73.125	1035.329245
27	-22	-20	60.125	1029.436802
28	-20	-18	51	1026.399061
29	-18	-16	43	1025.171563
30	-16	-14	36.25	1025.610877
31	-14	-12	30.625	1027.265055
32	-12	-10	26.5	1029.867612
33	-10	-8	23.125	1033.164809
34	-8	-6	20.75	1036.16105
35	-6	-4	19	1038.763842
36	-4	-2	16	1040.548629
37	-2	0	16	1041.83427
38	0	2	15.125	1042.617415
39	2	4	15	1042.836973
40	4	6	17.25	1042.932604
41	6	8	17.5	1042.917146
42	8	10	17.375	1042.94827
43	10	12	17.625	1042.91896
44	12	14	18.875	1042.927775
45	14	16	19.375	1042.995746
46	16	18	22	1042.923994
47	18	20	23.875	1042.915507
48	20	22	25	1042.946536
