R48 L 路 升温三候选量探针　场转储（每片按 x 列的廓线：x 区间 / 有料面积 / 面积加权平均温度）　开跑 2026-09-17 00:00:28　2026-09-16 Opus 5
── 设定点 300 °C　夹头 100 °C　片 0「入口」　T管根 335.1355 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
9	-62.374	-57.98	263.64	479.265773
10	-57.98	-54.6	202.8	493.866811
11	-54.6	-52	156	503.033456
12	-52	-50	120	508.911011
13	-50	-48	120	513.257524
14	-48	-46	120	516.85501
15	-46	-44	120	519.71532
16	-44	-42	120	521.846632
17	-42	-40	120	523.252878
18	-40	-38	120	523.932922
19	-38	-36	120	523.879352
20	-36	-34	120	523.076664
21	-34	-32	120	521.4985
22	-32	-30	120	519.103322
23	-30	-28	120	515.825865
24	-28	-26	120	511.309978
25	-26	-24	94.875	507.694842
26	-24	-22	73.125	505.047338
27	-22	-20	60.125	502.865196
28	-20	-18	51	501.269582
29	-18	-16	43	500.167193
30	-16	-14	36.25	499.528022
31	-14	-12	30.625	499.292553
32	-12	-10	26.5	499.386493
33	-10	-8	23.125	499.734911
34	-8	-6	20.75	500.140373
35	-6	-4	19	500.546347
36	-4	-2	16	500.839323
37	-2	0	16	501.065479
38	0	2	15.125	501.204822
39	2	4	15	501.229941
40	4	6	17.25	501.238356
41	6	8	17.5	501.225722
42	8	10	17.375	501.230422
43	10	12	17.625	501.218506
44	12	14	18.875	501.219952
45	14	16	19.375	501.239062
46	16	18	22	501.217734
47	18	20	23.875	501.215099
48	20	22	25	501.224165
49	22	24	30	501.232632
50	24	26	41	501.264717
51	26	28	51.375	501.232125
52	28	30	27.375	501.120029
── 设定点 450 °C　夹头 100 °C　片 1「HC1|HC2」　T管根 434.2738 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	100
1	-133	-122	660	100
2	-122	-111	660	100
3	-111	-100	660	100
4	-100	-96.165678	230.05932	117.166036
5	-96.165678	-85.165678	660	180.191814
6	-85.165678	-75.51206	579.21708	254.00544
7	-75.51206	-68.0862	445.5516	304.706501
8	-68.0862	-62.374	342.732	337.698167
9	-62.374	-57.98	263.64	359.608322
10	-57.98	-54.6	202.8	374.455441
11	-54.6	-52	156	384.709799
12	-52	-50	120	391.916782
13	-50	-48	120	397.732436
14	-48	-46	120	403.100802
15	-46	-44	120	408.025075
16	-44	-42	120	412.507908
17	-42	-40	120	416.551201
18	-40	-38	120	420.155797
19	-38	-36	120	423.32104
20	-36	-34	120	426.044103
21	-34	-32	120	428.318965
22	-32	-30	120	430.134804
23	-30	-28	120	431.472986
24	-28	-26	120	432.233271
25	-26	-24	94.875	432.139689
26	-24	-22	73.125	432.051592
27	-22	-20	60.125	432.146698
28	-20	-18	51	432.344258
29	-18	-16	43	432.562326
30	-16	-14	36.25	432.807812
31	-14	-12	30.625	433.060274
32	-12	-10	26.5	433.315633
33	-10	-8	23.125	433.569766
34	-8	-6	20.75	433.773347
35	-6	-4	19	433.934789
36	-4	-2	16	434.039451
37	-2	0	16	434.111365
38	0	2	15.125	434.152146
39	2	4	15	434.160051
40	4	6	17.25	434.162704
41	6	8	17.5	434.160348
