网格修复 门(e) 注入：MeshRules{整边面长、阶梯孔边、不并格} + 测试侧 CenterSampledMaterial（格心取样）　W08 片0　盘径 30.50／30.75／31.00／31.01
开跑 2026-09-23 06:03:01　工作树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/wtW3　写码 2026-09-18，Fable 5.1；2026-09-19 注入改走规则 + 材料源（复核第 9 条），断言不变
预期（跑前写死）：注入后体积守恒门（0.1 %）至少一张网格红；关掉注入后过。导航 vs 判决等温电阻差另印（坏带线 1 %，只印不判 —— 格心取样不等于改前的栅格带格，电阻差多大要实测）；(c) 那半边见 门e_注入下的单片热解。
R	注入	档	细区mm	细区半径	节点	单元	V_ref	V_mesh	ΔV%	环内V_ref	环内V_mesh(份额)	Δ环内%	环内V_mesh(格心)	Δ环内格心%	跨环格体积最大误差%	舌区V_ref	舌区V_mesh	Δ舌区%	带格	舌中格长宽比	最小覆盖率	孔面数	孔面总长	R_mesh µΩ	P_net W	P_gen W	闭合	Jmax	守恒误差	CG轮	收敛	备注	判决R µΩ	e%
30.50	是	导航	2.000	60.93	59×33	1108	15867.88	15886.84	+0.120	1104.82	1123.77	+1.715	1092.20	-1.142	76.114	15501.15	15509.20	+0.052	0	5.5	1.0000	104	207.000	323.0435	476.100	475.808	0.9994	15.63	2.4e-9	120	是		323.5306	-0.151
30.75	是	导航	2.000	61.36	60×33	1132	16024.58	16051.64	+0.169	1151.81	1178.87	+2.349	1208.28	+4.903	43.139	15628.33	15655.36	+0.173	0	5.5	1.0000	106	209.500	327.8091	483.124	482.722	0.9992	17.23	2.0e-9	120	是		327.8425	-0.010
31.00	是	导航	2.000	61.73	59×33	1118	16160.23	16134.82	-0.157	1200.07	1174.68	-2.116	1177.78	-1.858	78.391	15734.87	15704.08	-0.196	0	6.4	1.0000	104	207.620	330.7795	487.502	487.209	0.9994	15.63	1.6e-9	119	是		331.7384	-0.289
31.01	是	导航	2.000	61.75	59×33	1120	16165.37	16151.66	-0.085	1202.03	1188.35	-1.138	1194.62	-0.616	76.565	15738.82	15720.32	-0.118	0	6.4	1.0000	104	207.700	331.6315	488.757	488.436	0.9993	15.50	2.1e-9	120	是		331.8703	-0.072
30.50	否	导航	2.000	60.93	59×33	1162	15867.88	15868.06	+0.001	1104.82	1104.98	+0.015	1073.42	-2.842	0.335	15501.15	15501.19	+0.000	0	5.5	0.0011	102	162.106	323.4517	476.702	476.728	1.0001	14.02	4.0e-11	120	是		323.3643	+0.027
30.75	否	导航	2.000	61.36	60×33	1196	16024.58	16024.78	+0.001	1151.81	1152.00	+0.016	1181.42	+2.571	0.335	15628.33	15628.37	+0.000	0	5.5	0.0013	102	162.106	328.2727	483.807	483.901	1.0002	14.08	2.7e-10	120	是		328.1532	+0.036
31.00	否	导航	2.000	61.73	59×33	1184	16160.23	16160.45	+0.001	1200.07	1200.30	+0.018	1203.40	+0.277	0.335	15734.87	15734.91	+0.000	0	6.4	0.0015	100	162.106	332.6445	490.250	490.429	1.0004	14.47	3.8e-9	120	是		332.2719	+0.112
31.01	否	导航	2.000	61.75	59×33	1184	16165.37	16165.57	+0.001	1202.03	1202.24	+0.017	1208.51	+0.539	0.335	15738.82	15738.86	+0.000	0	6.4	0.0015	100	162.106	332.7466	490.401	490.533	1.0003	14.52	4.2e-9	120	是		332.4733	+0.082
── 注入：体积门红 3/4 张（导航或判决）、坏带 0/4 点；关掉：体积门红 0、坏带 0　2026-09-19，Fable 5.1
