F4 门(b) 圆盘区体积　W08／W06 × R48NMeshGateTests 门 a 快门的几何（盘径 28／29／30／30.25／30.75／31／31.01／32／34 × 舌半宽 30／28 × 片 0／1 × 导航／判决）
开跑 2026-09-23 15:43:36　工作树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/wtC3　写码 2026-09-23，F4（C3）
门槛（跑前写死）：圆盘区体积 Σ 份额·面积·厚度（份额 = ShellThermal.DiscZoneShare，Solve 的分区账用的同一个函数）对参考积分 VolInDisc ≤ 0.1 %（= §0.-15N 门 a 的 VolTolPct）；逐格面积／体积和账 ≤ 4u；改回按格心的圆盘区体积至少一张网格超 0.1 %（否则本门空守，判红）。
舌半宽 > 盘半径的几何不进门（与门 a 同一规矩）。
设计	R	w	片	档	单元	切开格	参考 VolInDisc	份额账	Δ%	格心账	Δ格心%	逐格最大误差(u)	判读
W08	30.25	30.00	0	导航	1150	68	1060.669	1060.855	+0.0175	1070.562	+0.933	1.00	过
W08	30.25	30.00	0	判决	4262	134	1060.669	1060.855	+0.0176	1050.260	-0.981	2.00	过
W08	30.25	30.00	1	导航	1150	68	1851.677	1852.018	+0.0184	1868.802	+0.925	1.14	过
W08	30.25	30.00	1	判决	4262	134	1851.677	1852.019	+0.0184	1833.699	-0.971	2.00	过
W08	30.25	28.00	0	导航	1124	58	1013.710	1013.952	+0.0238	992.991	-2.044	2.00	过
W08	30.25	28.00	0	判决	4182	116	1013.710	1013.952	+0.0238	1023.371	+0.953	1.84	过
W08	30.25	28.00	1	导航	1124	58	1775.878	1776.321	+0.0249	1740.001	-2.020	2.00	过
W08	30.25	28.00	1	判决	4182	116	1775.878	1776.321	+0.0249	1792.641	+0.944	1.06	过
W08	30.75	30.00	0	导航	1196	74	1151.808	1152.019	+0.0183	1181.417	+2.571	1.00	过
W08	30.75	30.00	0	判决	4366	136	1151.808	1152.019	+0.0183	1152.997	+0.103	2.00	过
W08	30.75	30.00	1	导航	1196	76	2010.291	2010.677	+0.0192	2061.509	+2.548	1.14	过
W08	30.75	30.00	1	判决	4366	136	2010.291	2010.678	+0.0192	2012.369	+0.103	1.14	过
W08	30.75	28.00	0	导航	1182	68	1116.580	1116.843	+0.0235	1137.593	+1.882	1.84	过
W08	30.75	28.00	0	判决	4256	124	1116.580	1116.843	+0.0236	1115.893	-0.061	2.00	过
W08	30.75	28.00	1	导航	1182	70	1954.348	1954.826	+0.0245	1990.781	+1.864	1.06	过
W08	30.75	28.00	1	判决	4256	124	1954.348	1954.827	+0.0245	1953.181	-0.060	2.00	过
W08	31.00	30.00	0	导航	1184	64	1200.074	1200.294	+0.0183	1203.399	+0.277	1.00	过
W08	31.00	30.00	0	判决	4450	124	1200.074	1200.294	+0.0184	1199.339	-0.061	1.97	过
W08	31.00	30.00	1	导航	1184	64	2094.115	2094.518	+0.0192	2099.886	+0.276	1.14	过
W08	31.00	30.00	1	判决	4450	124	2094.115	2094.518	+0.0193	2092.866	-0.060	1.14	过
W08	31.00	28.00	0	导航	1186	56	1167.833	1168.098	+0.0227	1188.191	+1.743	1.84	过
W08	31.00	28.00	0	判决	4314	110	1167.833	1168.098	+0.0227	1175.172	+0.628	1.84	过
W08	31.00	28.00	1	导航	1186	56	2043.251	2043.733	+0.0236	2078.550	+1.728	1.06	过
W08	31.00	28.00	1	判决	4314	110	2043.251	2043.734	+0.0236	2055.990	+0.623	1.06	过
W08	31.01	30.00	0	导航	1184	70	1202.031	1202.242	+0.0175	1208.514	+0.539	2.00	过
W08	31.01	30.00	0	判决	4454	132	1202.031	1202.242	+0.0175	1192.274	-0.812	1.97	过
W08	31.01	30.00	1	导航	1184	72	2097.512	2097.899	+0.0185	2108.743	+0.535	2.00	过
W08	31.01	30.00	1	判决	4454	132	2097.512	2097.899	+0.0185	2080.663	-0.803	1.14	过
W08	31.01	28.00	0	导航	1186	64	1169.897	1170.145	+0.0213	1191.552	+1.851	1.84	过
W08	31.01	28.00	0	判决	4316	124	1169.897	1170.145	+0.0213	1174.192	+0.367	2.00	过
W08	31.01	28.00	1	导航	1186	66	2046.828	2047.285	+0.0223	2084.377	+1.834	1.06	过
W08	31.01	28.00	1	判决	4316	124	2046.828	2047.285	+0.0223	2054.297	+0.365	2.00	过
W08	32.00	30.00	0	导航	1258	64	1492.895	1493.152	+0.0172	1480.014	-0.863	2.00	过
W08	32.00	30.00	0	判决	4648	128	1492.895	1493.152	+0.0172	1492.194	-0.047	2.00	过
W08	32.00	30.00	1	导航	1258	64	2437.107	2437.547	+0.0181	2414.827	-0.914	2.00	过
W08	32.00	30.00	1	判决	4648	128	2437.107	2437.548	+0.0181	2435.888	-0.050	2.00	过
W08	32.00	28.00	0	导航	1218	62	1510.035	1510.360	+0.0215	1490.364	-1.303	1.00	过
W08	32.00	28.00	0	判决	4524	120	1510.035	1510.360	+0.0215	1507.724	-0.153	1.00	过
W08	32.00	28.00	1	导航	1218	64	2467.962	2468.525	+0.0228	2433.868	-1.381	1.06	过
W08	32.00	28.00	1	判决	4524	120	2467.962	2468.525	+0.0228	2463.948	-0.163	1.06	过
W08	34.00	30.00	0	导航	1364	56	2317.598	2318.017	+0.0181	2331.359	+0.594	2.00	过
W08	34.00	30.00	0	判决	5094	116	2317.598	2318.017	+0.0181	2323.240	+0.243	2.00	过
W08	34.00	30.00	1	导航	1364	56	3306.172	3306.758	+0.0177	3329.804	+0.715	1.14	过
W08	34.00	30.00	1	判决	5094	118	3306.172	3306.759	+0.0178	3315.764	+0.290	2.00	过
W08	34.00	28.00	0	导航	1312	52	2475.779	2476.346	+0.0229	2470.999	-0.193	2.00	过
W08	34.00	28.00	0	判决	4912	112	2475.779	2476.346	+0.0229	2475.339	-0.018	2.00	过
W08	34.00	28.00	1	导航	1312	50	3495.302	3496.095	+0.0227	3486.781	-0.244	2.00	过
W08	34.00	28.00	1	判决	4912	112	3495.302	3496.096	+0.0227	3494.302	-0.029	2.00	过
W06	28.00	28.00	0	导航	996	62	521.472	521.406	-0.0125	522.333	+0.165	1.07	过
W06	28.00	28.00	0	判决	3688	136	521.472	521.406	-0.0125	529.813	+1.600	2.00	过
W06	28.00	28.00	1	导航	996	64	919.221	919.140	-0.0088	920.746	+0.166	1.23	过
W06	28.00	28.00	1	判决	3688	134	919.221	919.140	-0.0088	933.706	+1.576	2.00	过
W06	29.00	28.00	0	导航	1084	62	684.934	684.850	-0.0122	714.498	+4.316	1.07	过
W06	29.00	28.00	0	判决	3936	120	684.934	684.850	-0.0122	680.838	-0.598	2.00	过
W06	29.00	28.00	1	导航	1084	62	1204.460	1204.359	-0.0084	1255.728	+4.257	1.23	过
W06	29.00	28.00	1	判决	3936	122	1204.460	1204.359	-0.0084	1197.409	-0.585	2.00	过
W06	30.00	30.00	0	导航	1124	62	932.698	932.646	-0.0056	964.642	+3.425	2.00	过
