轮	δ K	真残差 K	放大	max(δ,r)·放大 / 0.025	段电流 A（R）
1	6.609E+001	0.000E+000	35.873	94828.077	1213.7560784734471 1077.5919363161806 1024.2920515560413
2	2.965E+001	6.609E+001	35.873	94826.644	1213.6189009505476 1077.7051730558387 1024.360828722815
3	5.813E+000	6.890E+000	35.873	9886.280	1213.6465740068222 1077.6833749450102 1024.3476272526107
4	7.142E+000	1.840E+001	35.872	26406.776	1213.6160484937755 1077.713638586944 1024.3657586495117
5	1.015E+000	3.853E+000	35.872	5528.939	1213.6114193285678 1077.7179488567851 1024.3681991167816
6	8.580E-001	1.827E+000	35.872	2621.760	1213.6075780202555 1077.7218542124997 1024.3703782552675
7	6.239E-002	1.385E-001	35.872	198.794	1213.60740220569 1077.7225163585294 1024.3707949147724
8	2.287E-002	6.107E-002	35.872	87.629	1213.607513621749 1077.723163768774 1024.3711833033751
9	1.912E-002	6.442E-002	35.872	92.429	1213.6074203245532 1077.7225819559847 1024.3708316638815
10	2.689E-002	6.132E-002	35.872	87.981	1213.607544557531 1077.7233002146845 1024.3712757076864
11	7.247E-003	7.440E-002	35.872	106.751	1213.6075824009959 1077.7235171159125 1024.3714090087078
12	9.015E-002	7.441E-002	35.872	129.356	1213.6080044749883 1077.7263593697296 1024.3731432670243
13	6.461E-002	6.250E-002	35.872	92.709	1213.608323867493 1077.7284307512032 1024.3744081315006
14	7.200E-002	6.087E-002	35.872	103.310	1213.6086774398825 1077.730739878545 1024.3758113295667
15	3.028E-001	5.894E-002	35.872	434.432	1213.6071859685815 1077.721029964674 1024.369911072471
16	8.229E-003	6.773E-002	35.872	97.179	1213.6071969375282 1077.7211838705352 1024.3698295520296
17	1.303E-001	7.018E-002	35.872	186.909	1213.607837874326 1077.7254089193093 1024.37238038905
18	4.633E-001	6.170E-002	35.872	664.797	1213.6100909535676 1077.7404047835078 1024.381158704734
19	4.221E-001	3.450E-002	35.872	605.679	1213.612151234875 1077.7540883749407 1024.389130001658
20	1.279E-001	1.143E-002	35.872	183.494	1213.6127749740785 1077.7582320831038 1024.3915526786018
21	1.435E-003	4.378E-003	35.872	6.282	1213.612781568861 1077.7582753112931 1024.3915665521226
22	1.390E-003	4.225E-003	35.872	6.062	1213.612789691807 1077.7583190431906 1024.3915812720643
23	1.358E-003	4.118E-003	35.872	5.909	1213.6127953621274 1077.7583603431024 1024.3915941259627
24	1.331E-003	4.029E-003	35.872	5.782	1213.6128014482408 1077.7584012547952 1024.3916070458044
25	2.653E-002	3.948E-003	35.872	38.073	1213.612958154625 1077.7592423416113 1024.3918875739382
26	2.468E-002	2.409E-003	35.872	35.408	1213.6130641955888 1077.759996050211 1024.3921195860148
27	2.170E-002	1.015E-003	35.872	31.133	1213.6131444892662 1077.7606489820469 1024.392311749275
28	1.489E-003	1.668E-004	35.872	2.137	1213.6131614605158 1077.7607010201693 1024.3923273630214
29	1.927E-004	2.165E-004	35.872	0.311	1213.6131638068648 1077.7606973316713 1024.3923246437614
