格	x	z	r	T	J重构	厚	保温mm	L	proxy	区(0盘1舌)	前12	裕度
3754	2.5	-27.5	27.613	1061.435	0.0549	1.1	20	2.013	8.885E-13	0	0	5033.59907
3755	2.5	-26.5	26.618	1061.932	0.05288	1.1621	20	1.018	8.7053E-13	0	0	10336.3269
3756	2.516	-25.737	25.86	1062.344	0.03224	1.9772	20	1	5.505E-13	0	0	17252.97961
3757	2.516	25.737	25.86	1062.344	0.03224	1.9772	20	1	5.505E-13	0	0	17252.97961
3758	2.5	26.5	26.618	1061.932	0.05288	1.1621	20	1.018	8.7053E-13	0	0	10336.3269
3759	2.5	27.5	27.613	1061.435	0.0549	1.1	20	2.013	8.885E-13	0	0	5033.59907
3760	2.5	28.5	28.609	1061.116	0.05466	1.1	20	3.009	8.8079E-13	0	0	3385.05222
3761	2.492	29.447	29.553	1060.981	0.05735	1.1	20	3.953	9.6975E-13	0	0	2458.83019
3762	3.488	-29.398	29.604	1060.921	0.04027	1.1	20	4.004	4.7808E-13	0	0	3457.53085
3763	3.5	-28.5	28.714	1061.039	0.03783	1.1	20	3.114	4.2192E-13	0	0	4726.98205
3764	3.5	-27.5	27.722	1061.351	0.03731	1.1	20	2.122	4.1034E-13	0	0	7028.8197
3765	3.5	-26.5	26.73	1061.849	0.03596	1.1321	20	1.13	3.9222E-13	0	0	13686.61471
3766	3.518	-25.678	25.918	1062.306	0.02232	1.8665	20	1	2.4904E-13	0	0	24922.60273
3767	3.518	25.678	25.918	1062.306	0.02232	1.8665	20	1	2.4904E-13	0	0	24922.60273
3768	3.5	26.5	26.73	1061.849	0.03596	1.1321	20	1.13	3.9222E-13	0	0	13686.61471
3769	3.5	27.5	27.722	1061.351	0.03731	1.1	20	2.122	4.1034E-13	0	0	7028.8197
3770	3.5	28.5	28.714	1061.039	0.03783	1.1	20	3.114	4.2192E-13	0	0	4726.98205
3771	3.488	29.398	29.604	1060.921	0.04027	1.1	20	4.004	4.7808E-13	0	0	3457.53085
3772	4.481	-29.331	29.671	1060.879	0.02826	1.1	20	4.071	2.3553E-13	0	0	4844.67425
3773	4.5	-28.5	28.853	1060.972	0.02618	1.1	20	3.253	2.0212E-13	0	0	6538.707
3774	4.5	-27.5	27.866	1061.265	0.02546	1.1	20	2.266	1.9107E-13	0	0	9647.22123
3775	4.5	-26.5	26.879	1061.748	0.02449	1.1102	20	1.279	1.784E-13	0	0	17753.13869
3776	4.519	-25.598	25.994	1062.252	0.01573	1.7463	20	1	1.1573E-13	0	0	35362.97183
3777	4.519	25.598	25.994	1062.252	0.01573	1.7463	20	1	1.1573E-13	0	0	35362.97183
3778	4.5	26.5	26.879	1061.748	0.02449	1.1102	20	1.279	1.784E-13	0	0	17753.13869
3779	4.5	27.5	27.866	1061.265	0.02546	1.1	20	2.266	1.9107E-13	0	0	9647.22123
3780	4.5	28.5	28.853	1060.972	0.02618	1.1	20	3.253	2.0212E-13	0	0	6538.707
3781	4.481	29.331	29.671	1060.879	0.02826	1.1	20	4.071	2.3553E-13	0	0	4844.67425
3782	5.468	-29.248	29.755	1060.849	0.02001	1.1	20	4.155	1.1808E-13	0	0	6705.52548
3783	5.5	-28.5	29.026	1060.912	0.01811	1.1	20	3.426	9.6732E-14	0	0	8976.7984
3784	5.5	-27.5	28.045	1061.177	0.01744	1.1	20	2.445	8.9691E-14	0	0	13052.21555
