格	x	z	r	T	J重构	厚	保温mm	L	proxy	区(0盘1舌)	前12	裕度
480	-99.291	-29.5	103.581	463.479	9.43426	3.02	3.1	1	9.0514E-8	1	0	50.53122
481	-99.291	-28.5	103.301	463.48	9.43429	3.02	3.1	1	9.0515E-8	1	0	50.53105
482	-99.291	-27.5	103.029	463.48	9.43436	3.02	3.1	1	9.0516E-8	1	0	50.53069
483	-99.291	-26.5	102.767	463.48	9.43446	3.02	3.1	1	9.0518E-8	1	0	50.53017
484	-99.291	-25.5	102.514	463.48	9.43459	3.02	3.1	1	9.052E-8	1	0	50.52948
485	-99.291	-24.5	102.269	463.481	9.43474	3.02	3.1	1	9.0524E-8	1	0	50.52863
486	-99.291	-23.5	102.034	463.481	9.43493	3.02	3.1	1	9.0527E-8	1	0	50.52763
487	-99.291	-22.5	101.809	463.482	9.43515	3.02	3.1	1	9.0531E-8	1	0	50.52649
488	-99.291	-21.5	101.592	463.482	9.43538	3.02	3.1	1	9.0536E-8	1	0	50.52523
489	-99.291	-20.5	101.386	463.483	9.43564	3.02	3.1	1	9.0541E-8	1	0	50.52385
490	-99.291	-19.5	101.188	463.484	9.43592	3.02	3.1	1	9.0546E-8	1	0	50.52238
491	-99.291	-18.5	101	463.485	9.43621	3.02	3.1	1	9.0552E-8	1	0	50.52083
492	-99.291	-17.5	100.822	463.485	9.43651	3.02	3.1	1	9.0557E-8	1	0	50.51921
493	-99.291	-16.5	100.653	463.486	9.43683	3.02	3.1	1	9.0563E-8	1	0	50.51755
494	-99.291	-15.5	100.494	463.487	9.43714	3.02	3.1	1	9.0569E-8	1	0	50.51586
495	-99.291	-14.5	100.345	463.488	9.43746	3.02	3.1	1	9.0575E-8	1	0	50.51416
496	-99.291	-13.5	100.205	463.489	9.43778	3.02	3.1	1	9.0582E-8	1	0	50.51247
497	-99.291	-12.5	100.075	463.49	9.43809	3.02	3.1	1	9.0588E-8	1	0	50.51081
498	-99.291	-11.5	99.955	463.49	9.4384	3.02	3.1	1	9.0593E-8	1	0	50.50919
499	-99.291	-10.5	99.845	463.491	9.43869	3.02	3.1	1	9.0599E-8	1	0	50.50764
500	-99.291	-9.5	99.745	463.492	9.43897	3.02	3.1	1	9.0604E-8	1	0	50.50617
501	-99.291	-8.5	99.655	463.493	9.43922	3.02	3.1	1	9.0609E-8	1	0	50.50479
502	-99.291	-7.5	99.574	463.493	9.43946	3.02	3.1	1	9.0614E-8	1	0	50.50353
503	-99.291	-6.5	99.504	463.494	9.43967	3.02	3.1	1	9.0618E-8	1	0	50.50239
504	-99.291	-5.5	99.444	463.494	9.43986	3.02	3.1	1	9.0621E-8	1	0	50.50139
505	-99.291	-4.5	99.393	463.495	9.44002	3.02	3.1	1	9.0624E-8	1	0	50.50055
506	-99.291	-3.5	99.353	463.495	9.44015	3.02	3.1	1	9.0627E-8	1	0	50.49985
507	-99.291	-2.5	99.323	463.495	9.44025	3.02	3.1	1	9.0629E-8	1	0	50.49933
508	-99.291	-1.5	99.303	463.495	9.44032	3.02	3.1	1	9.063E-8	1	0	50.49898
509	-99.291	-0.5	99.293	463.496	9.44035	3.02	3.1	1	9.0631E-8	1	0	50.4988
510	-99.291	0.5	99.293	463.496	9.44035	3.02	3.1	1	9.0631E-8	1	0	50.4988
511	-99.291	1.5	99.303	463.495	9.44032	3.02	3.1	1	9.063E-8	1	0	50.49898
512	-99.291	2.5	99.323	463.495	9.44025	3.02	3.1	1	9.0629E-8	1	0	50.49933
513	-99.291	3.5	99.353	463.495	9.44015	3.02	3.1	1	9.0627E-8	1	0	50.49985
514	-99.291	4.5	99.393	463.495	9.44002	3.02	3.1	1	9.0624E-8	1	0	50.50055
515	-99.291	5.5	99.444	463.494	9.43986	3.02	3.1	1	9.0621E-8	1	0	50.50139
516	-99.291	6.5	99.504	463.494	9.43967	3.02	3.1	1	9.0618E-8	1	0	50.50239
517	-99.291	7.5	99.574	463.493	9.43946	3.02	3.1	1	9.0614E-8	1	0	50.50353
518	-99.291	8.5	99.655	463.493	9.43922	3.02	3.1	1	9.0609E-8	1	0	50.50479
519	-99.291	9.5	99.745	463.492	9.43897	3.02	3.1	1	9.0604E-8	1	0	50.50617
