格	x	z	r	T	J重构	厚	保温mm	L	proxy	区(0盘1舌)	前12	裕度
120	-96.583	-29	100.843	508.086	8.6414	3.51	3.6	3.417	8.6917E-8	1	0	16.33513
121	-96.583	-27	100.286	508.088	8.64154	3.51	3.6	3.417	8.692E-8	1	0	16.33486
122	-96.583	-25	99.766	508.09	8.64183	3.51	3.6	3.417	8.6925E-8	1	0	16.33433
123	-96.583	-23	99.284	508.094	8.64224	3.51	3.6	3.417	8.6933E-8	1	0	16.33357
124	-96.583	-21	98.839	508.1	8.64276	3.51	3.6	3.417	8.6944E-8	1	0	16.33261
125	-96.583	-19	98.434	508.106	8.64336	3.51	3.6	3.417	8.6956E-8	1	0	16.33149
126	-96.583	-17	98.068	508.112	8.64403	3.51	3.6	3.417	8.6969E-8	1	0	16.33026
127	-96.583	-15	97.741	508.119	8.64472	3.51	3.6	3.417	8.6983E-8	1	0	16.32898
128	-96.583	-13	97.454	508.126	8.64542	3.51	3.6	3.417	8.6996E-8	1	0	16.32769
129	-96.583	-11	97.207	508.133	8.64608	3.51	3.6	3.417	8.701E-8	1	0	16.32646
130	-96.583	-9	97.001	508.139	8.64669	3.51	3.6	3.417	8.7022E-8	1	0	16.32534
131	-96.583	-7	96.836	508.144	8.64721	3.51	3.6	3.417	8.7032E-8	1	0	16.32438
132	-96.583	-5	96.712	508.148	8.64762	3.51	3.6	3.417	8.704E-8	1	0	16.32362
133	-96.583	-3	96.629	508.151	8.64791	3.51	3.6	3.417	8.7046E-8	1	0	16.32309
134	-96.583	-1	96.588	508.152	8.64805	3.51	3.6	3.417	8.7049E-8	1	0	16.32283
135	-96.583	1	96.588	508.152	8.64805	3.51	3.6	3.417	8.7049E-8	1	0	16.32283
136	-96.583	3	96.629	508.151	8.64791	3.51	3.6	3.417	8.7046E-8	1	0	16.32309
137	-96.583	5	96.712	508.148	8.64762	3.51	3.6	3.417	8.704E-8	1	0	16.32362
138	-96.583	7	96.836	508.144	8.64721	3.51	3.6	3.417	8.7032E-8	1	0	16.32438
139	-96.583	9	97.001	508.139	8.64669	3.51	3.6	3.417	8.7022E-8	1	0	16.32534
140	-96.583	11	97.207	508.133	8.64608	3.51	3.6	3.417	8.701E-8	1	0	16.32646
141	-96.583	13	97.454	508.126	8.64542	3.51	3.6	3.417	8.6996E-8	1	0	16.32769
142	-96.583	15	97.741	508.119	8.64472	3.51	3.6	3.417	8.6983E-8	1	0	16.32898
143	-96.583	17	98.068	508.112	8.64403	3.51	3.6	3.417	8.6969E-8	1	0	16.33026
144	-96.583	19	98.434	508.106	8.64336	3.51	3.6	3.417	8.6956E-8	1	0	16.33149
145	-96.583	21	98.839	508.1	8.64276	3.51	3.6	3.417	8.6944E-8	1	0	16.33261
146	-96.583	23	99.284	508.094	8.64224	3.51	3.6	3.417	8.6933E-8	1	0	16.33357
147	-96.583	25	99.766	508.09	8.64183	3.51	3.6	3.417	8.6925E-8	1	0	16.33433
148	-96.583	27	100.286	508.088	8.64154	3.51	3.6	3.417	8.692E-8	1	0	16.33486
149	-96.583	29	100.843	508.086	8.6414	3.51	3.6	3.417	8.6917E-8	1	0	16.33513
