格	x	z	r	T	J重构	厚	保温mm	L	proxy	区(0盘1舌)	前12	裕度
120	-96.583	-29	100.843	519.442	9.95245	1.75	6.4	3.417	5.7255E-8	1	0	14.22949
121	-96.583	-27	100.286	519.444	9.95262	1.75	6.4	3.417	5.7257E-8	1	0	14.22926
122	-96.583	-25	99.766	519.448	9.95294	1.75	6.4	3.417	5.726E-8	1	0	14.22881
123	-96.583	-23	99.284	519.453	9.9534	1.75	6.4	3.417	5.7266E-8	1	0	14.22817
124	-96.583	-21	98.839	519.46	9.95399	1.75	6.4	3.417	5.7272E-8	1	0	14.22735
125	-96.583	-19	98.434	519.468	9.95468	1.75	6.4	3.417	5.728E-8	1	0	14.22639
126	-96.583	-17	98.068	519.477	9.95544	1.75	6.4	3.417	5.7289E-8	1	0	14.22535
127	-96.583	-15	97.741	519.486	9.95623	1.75	6.4	3.417	5.7297E-8	1	0	14.22425
128	-96.583	-13	97.454	519.496	9.95702	1.75	6.4	3.417	5.7306E-8	1	0	14.22315
129	-96.583	-11	97.207	519.504	9.95777	1.75	6.4	3.417	5.7315E-8	1	0	14.22211
130	-96.583	-9	97.001	519.513	9.95846	1.75	6.4	3.417	5.7323E-8	1	0	14.22115
131	-96.583	-7	96.836	519.519	9.95905	1.75	6.4	3.417	5.7329E-8	1	0	14.22033
132	-96.583	-5	96.712	519.525	9.95952	1.75	6.4	3.417	5.7335E-8	1	0	14.21969
133	-96.583	-3	96.629	519.529	9.95984	1.75	6.4	3.417	5.7338E-8	1	0	14.21924
134	-96.583	-1	96.588	519.531	9.96	1.75	6.4	3.417	5.734E-8	1	0	14.21901
135	-96.583	1	96.588	519.531	9.96	1.75	6.4	3.417	5.734E-8	1	0	14.21901
136	-96.583	3	96.629	519.529	9.95984	1.75	6.4	3.417	5.7338E-8	1	0	14.21924
137	-96.583	5	96.712	519.525	9.95952	1.75	6.4	3.417	5.7335E-8	1	0	14.21969
138	-96.583	7	96.836	519.519	9.95905	1.75	6.4	3.417	5.7329E-8	1	0	14.22033
139	-96.583	9	97.001	519.513	9.95846	1.75	6.4	3.417	5.7323E-8	1	0	14.22115
140	-96.583	11	97.207	519.504	9.95777	1.75	6.4	3.417	5.7315E-8	1	0	14.22211
141	-96.583	13	97.454	519.496	9.95702	1.75	6.4	3.417	5.7306E-8	1	0	14.22315
142	-96.583	15	97.741	519.486	9.95623	1.75	6.4	3.417	5.7297E-8	1	0	14.22425
143	-96.583	17	98.068	519.477	9.95544	1.75	6.4	3.417	5.7289E-8	1	0	14.22535
144	-96.583	19	98.434	519.468	9.95468	1.75	6.4	3.417	5.728E-8	1	0	14.22639
145	-96.583	21	98.839	519.46	9.95399	1.75	6.4	3.417	5.7272E-8	1	0	14.22735
146	-96.583	23	99.284	519.453	9.9534	1.75	6.4	3.417	5.7266E-8	1	0	14.22817
147	-96.583	25	99.766	519.448	9.95294	1.75	6.4	3.417	5.726E-8	1	0	14.22881
148	-96.583	27	100.286	519.444	9.95262	1.75	6.4	3.417	5.7257E-8	1	0	14.22926
149	-96.583	29	100.843	519.442	9.95245	1.75	6.4	3.417	5.7255E-8	1	0	14.22949
150	-88.339	-29	92.977	667.287	9.94959	1.75	6.4	11.661	5.4277E-8	1	0	4.41899
151	-88.339	-27	92.373	667.294	9.94988	1.75	6.4	11.661	5.428E-8	1	0	4.41887
152	-88.339	-25	91.808	667.307	9.95045	1.75	6.4	11.661	5.4286E-8	1	0	4.41864
153	-88.339	-23	91.284	667.327	9.95127	1.75	6.4	11.661	5.4294E-8	1	0	4.4183
154	-88.339	-21	90.801	667.351	9.9523	1.75	6.4	11.661	5.4305E-8	1	0	4.41787
155	-88.339	-19	90.359	667.38	9.95351	1.75	6.4	11.661	5.4317E-8	1	0	4.41737
156	-88.339	-17	89.96	667.412	9.95484	1.75	6.4	11.661	5.4331E-8	1	0	4.41682
157	-88.339	-15	89.603	667.445	9.95622	1.75	6.4	11.661	5.4346E-8	1	0	4.41625
158	-88.339	-13	89.29	667.478	9.95761	1.75	6.4	11.661	5.436E-8	1	0	4.41567
159	-88.339	-11	89.021	667.51	9.95894	1.75	6.4	11.661	5.4374E-8	1	0	4.41513
160	-88.339	-9	88.796	667.539	9.96015	1.75	6.4	11.661	5.4387E-8	1	0	4.41463
161	-88.339	-7	88.616	667.563	9.96119	1.75	6.4	11.661	5.4398E-8	1	0	4.4142
162	-88.339	-5	88.48	667.583	9.96201	1.75	6.4	11.661	5.4406E-8	1	0	4.41386
163	-88.339	-3	88.39	667.597	9.96257	1.75	6.4	11.661	5.4412E-8	1	0	4.41362
164	-88.339	-1	88.345	667.603	9.96286	1.75	6.4	11.661	5.4415E-8	1	0	4.4135
165	-88.339	1	88.345	667.603	9.96286	1.75	6.4	11.661	5.4415E-8	1	0	4.4135
166	-88.339	3	88.39	667.597	9.96257	1.75	6.4	11.661	5.4412E-8	1	0	4.41362
167	-88.339	5	88.48	667.583	9.96201	1.75	6.4	11.661	5.4406E-8	1	0	4.41386
168	-88.339	7	88.616	667.563	9.96119	1.75	6.4	11.661	5.4398E-8	1	0	4.4142
169	-88.339	9	88.796	667.539	9.96015	1.75	6.4	11.661	5.4387E-8	1	0	4.41463
170	-88.339	11	89.021	667.51	9.95894	1.75	6.4	11.661	5.4374E-8	1	0	4.41513
171	-88.339	13	89.29	667.478	9.95761	1.75	6.4	11.661	5.436E-8	1	0	4.41567
172	-88.339	15	89.603	667.445	9.95622	1.75	6.4	11.661	5.4346E-8	1	0	4.41625
173	-88.339	17	89.96	667.412	9.95484	1.75	6.4	11.661	5.4331E-8	1	0	4.41682
174	-88.339	19	90.359	667.38	9.95351	1.75	6.4	11.661	5.4317E-8	1	0	4.41737
175	-88.339	21	90.801	667.351	9.9523	1.75	6.4	11.661	5.4305E-8	1	0	4.41787
176	-88.339	23	91.284	667.327	9.95127	1.75	6.4	11.661	5.4294E-8	1	0	4.4183
177	-88.339	25	91.808	667.307	9.95045	1.75	6.4	11.661	5.4286E-8	1	0	4.41864
178	-88.339	27	92.373	667.294	9.94988	1.75	6.4	11.661	5.428E-8	1	0	4.41887
179	-88.339	29	92.977	667.287	9.94959	1.75	6.4	11.661	5.4277E-8	1	0	4.41899
180	-79.799	-29	84.905	797.943	9.94216	1.75	6.4	20.201	5.1596E-8	1	0	2.78607
181	-79.799	-27	84.243	797.959	9.94277	1.75	6.4	20.201	5.1603E-8	1	0	2.78592
182	-79.799	-25	83.624	797.991	9.94398	1.75	6.4	20.201	5.1614E-8	1	0	2.78561
183	-79.799	-23	83.048	798.037	9.94571	1.75	6.4	20.201	5.1631E-8	1	0	2.78517
184	-79.799	-21	82.516	798.095	9.94791	1.75	6.4	20.201	5.1653E-8	1	0	2.78461
185	-79.799	-19	82.03	798.163	9.95047	1.75	6.4	20.201	5.1678E-8	1	0	2.78396
186	-79.799	-17	81.59	798.238	9.95328	1.75	6.4	20.201	5.1706E-8	1	0	2.78324
187	-79.799	-15	81.197	798.316	9.95622	1.75	6.4	20.201	5.1735E-8	1	0	2.7825
188	-79.799	-13	80.851	798.394	9.95917	1.75	6.4	20.201	5.1764E-8	1	0	2.78175
189	-79.799	-11	80.554	798.469	9.96198	1.75	6.4	20.201	5.1792E-8	1	0	2.78103
190	-79.799	-9	80.305	798.537	9.96455	1.75	6.4	20.201	5.1817E-8	1	0	2.78038
191	-79.799	-7	80.106	798.595	9.96675	1.75	6.4	20.201	5.1839E-8	1	0	2.77982
192	-79.799	-5	79.956	798.641	9.96849	1.75	6.4	20.201	5.1856E-8	1	0	2.77938
193	-79.799	-3	79.856	798.673	9.9697	1.75	6.4	20.201	5.1868E-8	1	0	2.77908
194	-79.799	-1	79.805	798.689	9.97032	1.75	6.4	20.201	5.1874E-8	1	0	2.77892
195	-79.799	1	79.805	798.689	9.97032	1.75	6.4	20.201	5.1874E-8	1	0	2.77892
196	-79.799	3	79.856	798.673	9.9697	1.75	6.4	20.201	5.1868E-8	1	0	2.77908
197	-79.799	5	79.956	798.641	9.96849	1.75	6.4	20.201	5.1856E-8	1	0	2.77938
198	-79.799	7	80.106	798.595	9.96675	1.75	6.4	20.201	5.1839E-8	1	0	2.77982
199	-79.799	9	80.305	798.537	9.96455	1.75	6.4	20.201	5.1817E-8	1	0	2.78038
200	-79.799	11	80.554	798.469	9.96198	1.75	6.4	20.201	5.1792E-8	1	0	2.78103
201	-79.799	13	80.851	798.394	9.95917	1.75	6.4	20.201	5.1764E-8	1	0	2.78175
202	-79.799	15	81.197	798.316	9.95622	1.75	6.4	20.201	5.1735E-8	1	0	2.7825
203	-79.799	17	81.59	798.238	9.95328	1.75	6.4	20.201	5.1706E-8	1	0	2.78324
204	-79.799	19	82.03	798.163	9.95047	1.75	6.4	20.201	5.1678E-8	1	0	2.78396
205	-79.799	21	82.516	798.095	9.94791	1.75	6.4	20.201	5.1653E-8	1	0	2.78461
206	-79.799	23	83.048	798.037	9.94571	1.75	6.4	20.201	5.1631E-8	1	0	2.78517
207	-79.799	25	83.624	797.991	9.94398	1.75	6.4	20.201	5.1614E-8	1	0	2.78561
208	-79.799	27	84.243	797.959	9.94277	1.75	6.4	20.201	5.1603E-8	1	0	2.78592
209	-79.799	29	84.905	797.943	9.94216	1.75	6.4	20.201	5.1596E-8	1	0	2.78607
210	-73.23	-29	78.763	882.448	9.92941	1.75	6.4	26.77	4.9788E-8	1	0	2.2917
211	-73.23	-27	78.049	882.477	9.93058	1.75	6.4	26.77	4.9799E-8	1	0	2.29146
212	-73.23	-25	77.38	882.534	9.93287	1.75	6.4	26.77	4.982E-8	1	0	2.29098
213	-73.23	-23	76.757	882.617	9.93618	1.75	6.4	26.77	4.9852E-8	1	0	2.29029
214	-73.23	-21	76.182	882.722	9.94036	1.75	6.4	26.77	4.9892E-8	1	0	2.28943
215	-73.23	-19	75.655	882.844	9.94524	1.75	6.4	26.77	4.9939E-8	1	0	2.28841
216	-73.23	-17	75.177	882.978	9.9506	1.75	6.4	26.77	4.999E-8	1	0	2.2873
217	-73.23	-15	74.751	883.118	9.95622	1.75	6.4	26.77	5.0043E-8	1	0	2.28614
218	-73.23	-13	74.375	883.258	9.96183	1.75	6.4	26.77	5.0097E-8	1	0	2.28498
219	-73.23	-11	74.052	883.392	9.96721	1.75	6.4	26.77	5.0148E-8	1	0	2.28387
220	-73.23	-9	73.781	883.515	9.97211	1.75	6.4	26.77	5.0195E-8	1	0	2.28286
221	-73.23	-7	73.564	883.62	9.97632	1.75	6.4	26.77	5.0236E-8	1	0	2.282
222	-73.23	-5	73.401	883.703	9.97965	1.75	6.4	26.77	5.0267E-8	1	0	2.28131
223	-73.23	-3	73.292	883.76	9.98195	1.75	6.4	26.77	5.0289E-8	1	0	2.28084
224	-73.23	-1	73.237	883.79	9.98313	1.75	6.4	26.77	5.0301E-8	1	0	2.28059
225	-73.23	1	73.237	883.79	9.98313	1.75	6.4	26.77	5.0301E-8	1	0	2.28059
