格	x	z	r	T	J重构	厚	保温mm	L	proxy	区(0盘1舌)	前12	裕度
480	-99.291	-29.5	103.581	462.115	8.64248	3.51	3.6	1	8.8325E-8	1	0	55.14129
481	-99.291	-28.5	103.301	462.115	8.64252	3.51	3.6	1	8.8325E-8	1	0	55.1411
482	-99.291	-27.5	103.029	462.115	8.64258	3.51	3.6	1	8.8326E-8	1	0	55.1407
483	-99.291	-26.5	102.767	462.115	8.64267	3.51	3.6	1	8.8328E-8	1	0	55.14012
484	-99.291	-25.5	102.514	462.116	8.64279	3.51	3.6	1	8.8331E-8	1	0	55.13935
485	-99.291	-24.5	102.269	462.116	8.64294	3.51	3.6	1	8.8334E-8	1	0	55.13841
486	-99.291	-23.5	102.034	462.116	8.64311	3.51	3.6	1	8.8337E-8	1	0	55.1373
487	-99.291	-22.5	101.809	462.117	8.64331	3.51	3.6	1	8.8341E-8	1	0	55.13604
488	-99.291	-21.5	101.592	462.117	8.64353	3.51	3.6	1	8.8346E-8	1	0	55.13464
489	-99.291	-20.5	101.386	462.118	8.64377	3.51	3.6	1	8.8351E-8	1	0	55.13311
490	-99.291	-19.5	101.188	462.119	8.64403	3.51	3.6	1	8.8356E-8	1	0	55.13147
491	-99.291	-18.5	101	462.119	8.6443	3.51	3.6	1	8.8362E-8	1	0	55.12975
492	-99.291	-17.5	100.822	462.12	8.64459	3.51	3.6	1	8.8367E-8	1	0	55.12796
493	-99.291	-16.5	100.653	462.121	8.64488	3.51	3.6	1	8.8373E-8	1	0	55.12611
494	-99.291	-15.5	100.494	462.121	8.64517	3.51	3.6	1	8.8379E-8	1	0	55.12423
495	-99.291	-14.5	100.345	462.122	8.64547	3.51	3.6	1	8.8385E-8	1	0	55.12235
496	-99.291	-13.5	100.205	462.123	8.64577	3.51	3.6	1	8.8391E-8	1	0	55.12047
497	-99.291	-12.5	100.075	462.123	8.64606	3.51	3.6	1	8.8397E-8	1	0	55.11863
498	-99.291	-11.5	99.955	462.124	8.64634	3.51	3.6	1	8.8403E-8	1	0	55.11683
499	-99.291	-10.5	99.845	462.125	8.64661	3.51	3.6	1	8.8409E-8	1	0	55.11511
500	-99.291	-9.5	99.745	462.125	8.64687	3.51	3.6	1	8.8414E-8	1	0	55.11347
501	-99.291	-8.5	99.655	462.126	8.64711	3.51	3.6	1	8.8419E-8	1	0	55.11195
502	-99.291	-7.5	99.574	462.126	8.64733	3.51	3.6	1	8.8423E-8	1	0	55.11055
503	-99.291	-6.5	99.504	462.127	8.64753	3.51	3.6	1	8.8427E-8	1	0	55.10928
504	-99.291	-5.5	99.444	462.127	8.6477	3.51	3.6	1	8.8431E-8	1	0	55.10817
505	-99.291	-4.5	99.393	462.128	8.64785	3.51	3.6	1	8.8434E-8	1	0	55.10723
506	-99.291	-3.5	99.353	462.128	8.64797	3.51	3.6	1	8.8436E-8	1	0	55.10646
507	-99.291	-2.5	99.323	462.128	8.64807	3.51	3.6	1	8.8438E-8	1	0	55.10588
508	-99.291	-1.5	99.303	462.128	8.64813	3.51	3.6	1	8.8439E-8	1	0	55.10549
509	-99.291	-0.5	99.293	462.128	8.64816	3.51	3.6	1	8.844E-8	1	0	55.10529
510	-99.291	0.5	99.293	462.128	8.64816	3.51	3.6	1	8.844E-8	1	0	55.10529
511	-99.291	1.5	99.303	462.128	8.64813	3.51	3.6	1	8.8439E-8	1	0	55.10549
512	-99.291	2.5	99.323	462.128	8.64807	3.51	3.6	1	8.8438E-8	1	0	55.10588
513	-99.291	3.5	99.353	462.128	8.64797	3.51	3.6	1	8.8436E-8	1	0	55.10646
514	-99.291	4.5	99.393	462.128	8.64785	3.51	3.6	1	8.8434E-8	1	0	55.10723
515	-99.291	5.5	99.444	462.127	8.6477	3.51	3.6	1	8.8431E-8	1	0	55.10817
516	-99.291	6.5	99.504	462.127	8.64753	3.51	3.6	1	8.8427E-8	1	0	55.10928
517	-99.291	7.5	99.574	462.126	8.64733	3.51	3.6	1	8.8423E-8	1	0	55.11055
518	-99.291	8.5	99.655	462.126	8.64711	3.51	3.6	1	8.8419E-8	1	0	55.11195
