# 左 = 鉑金热膨胀计算.xlsx 工作表「鉑金热膨胀计算」存储值；右 = JM 1960 p.139 表
curve_workbook,cell,T_degC,workbook_LtOverLo,JM_LtOverLo,delta_LtOverLo,workbook_eps_1e-3,JM_eps_1e-3,delta_eps_pct
PtRh95,K18,1400,1.016400,1.01640,+0.000000,16.4000,16.4000,+0.000
PtRh95,K19,1500,1.018400,1.01840,+0.000000,18.4000,18.4000,+0.000
Rh,M4,0,1.000000,1.00000,+0.000000,0.0000,0.0000,
Rh,M5,100,1.000900,1.00085,+0.000050,0.9000,0.8500,+5.882
Rh,M6,200,1.001800,1.00180,+0.000000,1.8000,1.8000,+0.000
Rh,M7,300,1.002800,1.00280,+0.000000,2.8000,2.8000,+0.000
Rh,M8,400,1.003900,1.00385,+0.000050,3.9000,3.8500,+1.299
Rh,M9,500,1.004900,1.00490,+0.000000,4.9000,4.9000,+0.000
Rh,M10,600,1.006000,1.00600,+0.000000,6.0000,6.0000,+0.000
Rh,M11,700,1.007100,1.00710,+0.000000,7.1000,7.1000,+0.000
Rh,M12,800,1.008300,1.00825,+0.000050,8.3000,8.2500,+0.606
Rh,M13,900,1.009500,1.00950,+0.000000,9.5000,9.5000,+0.000
Rh,M14,1000,1.010800,1.01080,+0.000000,10.8000,10.8000,+0.000
Rh,M15,1100,1.012100,1.01210,+0.000000,12.1000,12.1000,+0.000
Rh,M16,1200,1.013500,1.01350,+0.000000,13.5000,13.5000,+0.000
Rh,M17,1300,1.015000,1.01500,+0.000000,15.0000,15.0000,+0.000
Rh,M18,1400,1.016500,1.01650,+0.000000,16.5000,16.5000,+0.000
Rh,M19,1500,1.018100,1.01810,+0.000000,18.1000,18.1000,+0.000
