轮	δ K	真残差 K	放大	max(δ,r)·放大 / 0.025	段电流 A（R）
1	6.609E+001	0.000E+000	35.873	94828.850	1213.7559726084332 1077.5914909277196 1024.2927937578577
2	2.966E+001	6.609E+001	35.873	94827.410	1213.619174291573 1077.7057868987658 1024.3619730616538
3	5.814E+000	6.873E+000	35.873	9861.620	1213.6459974909576 1077.682408170624 1024.3465998762945
4	7.007E+000	1.839E+001	35.872	26384.628	1213.6164919716343 1077.7135798172126 1024.364535262756
5	1.175E+000	4.111E+000	35.872	5898.961	1213.6111273317574 1077.7187750919034 1024.367097459377
6	8.283E-001	1.761E+000	35.872	2527.003	1213.6084450118192 1077.7213727274493 1024.3696596593763
7	5.824E-002	1.313E-001	35.872	188.457	1213.6084450118192 1077.7213727271928 1024.3696596595937
8	2.254E-002	5.995E-002	35.872	86.022	1213.6084450118192 1077.7239703695404 1024.3722218668104
9	3.467E-003	6.384E-002	35.872	91.601	1213.6084450118192 1077.723970369505 1024.3722218666858
10	1.292E-002	6.675E-002	35.872	95.777	1213.6084450118192 1077.7213727272392 1024.3696596598375
11	8.976E-003	6.618E-002	35.872	94.961	1213.6084450118192 1077.721372727162 1024.369659659491
12	9.285E-003	6.655E-002	35.872	95.492	1213.6084450118192 1077.7213727272351 1024.3696596598606
13	3.337E-002	6.706E-002	35.872	96.221	1213.6084450118192 1077.7239703696514 1024.3722218675134
14	5.201E-002	6.915E-002	35.872	99.230	1213.6084450118192 1077.7213727270964 1024.3696596591608
15	8.213E-002	6.664E-002	35.872	117.854	1213.6057626918807 1077.7187750843696 1024.3696596563186
16	4.049E-002	7.304E-002	35.872	104.799	1213.6084450118192 1077.7213727267244 1024.3696596573204
17	1.365E-002	6.840E-002	35.872	98.154	1213.6057626918807 1077.7213727267385 1024.3696596571199
18	3.901E-002	6.988E-002	35.872	100.271	1213.6057626918807 1077.7187750843036 1024.3696596559616
19	1.625E-001	7.844E-002	35.872	233.241	1213.6084450118192 1077.7239703698447 1024.372221868416
20	1.657E-001	6.253E-002	35.872	237.708	1213.6057626918807 1077.718775084205 1024.3696596554446
21	1.936E-001	7.160E-002	35.872	277.731	1213.6057626918807 1077.7135797981914 1024.3645352341973
22	7.496E-001	8.615E-002	35.872	1075.660	1213.6084450118192 1077.7369585840638 1024.3799085041574
23	2.420E-003	4.522E-002	35.872	64.893	1213.6084450118192 1077.7369585840752 1024.3799085042078
24	1.090E-001	4.155E-002	35.872	156.444	1213.6111273317574 1077.7395562270563 1024.3824707149552
25	2.708E-002	3.487E-002	35.872	50.040	1213.6111273317574 1077.7421538693952 1024.3824707153963
26	5.784E-001	3.297E-002	35.872	829.962	1213.613809651696 1077.7603373695006 1024.3927195653946
27	7.739E-004	2.300E-003	35.872	3.300	1213.613809651696 1077.7603373695047 1024.3927195653964
28	5.208E-002	2.131E-003	35.872	74.733	1213.613809651696 1077.7577397268778 1024.3927195633137
29	1.778E-001	4.196E-003	35.872	255.077	1213.613809651696 1077.7655326549343 1024.3952817769446
30	8.048E-002	6.364E-003	35.872	115.475	1213.613809651696 1077.762935012062 1024.3927195670476
31	3.466E-002	1.660E-003	35.872	49.733	1213.613809651696 1077.7629350123689 1024.3952817751433
32	2.030E-002	3.613E-003	35.872	29.129	1213.613809651696 1077.7629350121847 1024.3952817741906
33	1.525E-002	2.447E-003	35.872	21.887	1213.613809651696 1077.7603373699008 1024.3927195671854
34	4.672E-003	1.605E-003	35.872	6.703	1213.613809651696 1077.7629350120947 1024.3927195671968
35	1.271E-002	1.850E-003	35.872	18.235	1213.613809651696 1077.7603373698303 1024.3927195669266
36	1.342E-002	1.615E-003	35.872	19.257	1213.613809651696 1077.7629350120997 1024.3927195672004
37	1.156E-002	1.912E-003	35.872	16.580	1213.613809651696 1077.7629350122038 1024.395281774287
38	2.922E-003	2.549E-003	35.872	4.193	1213.613809651696 1077.7629350121779 1024.3952817742188
39	5.426E-003	2.384E-003	35.872	7.786	1213.613809651696 1077.7629350122256 1024.3952817743666
40	2.913E-003	2.688E-003	35.872	4.180	1213.613809651696 1077.7629350122534 1024.3952817744853
41	2.092E-002	2.868E-003	35.872	30.020	1213.613809651696 1077.7629350120633 1024.3927195669648
42	3.017E-003	1.655E-003	35.872	4.330	1213.613809651696 1077.7603373699108 1024.39271956717
43	1.622E-003	1.634E-003	35.872	2.345	1213.613809651696 1077.7629350120774 1024.3927195669576
44	3.599E-003	1.734E-003	35.872	5.164	1213.613809651696 1077.7603373698935 1024.3927195670426
45	3.495E-003	1.544E-003	35.872	5.015	1213.613809651696 1077.762935012075 1024.3927195669248
46	7.350E-004	1.747E-003	35.872	2.507	1213.613809651696 1077.7629350120824 1024.3927195669808
47	4.800E-004	1.784E-003	35.872	2.560	1213.613809651696 1077.7629350120787 1024.3927195669612
48	5.041E-004	1.757E-003	35.872	2.521	1213.613809651696 1077.7629350120756 1024.392719566944
49	2.428E-003	1.722E-003	35.872	3.484	1213.613809651696 1077.7603373698994 1024.3927195671595
50	1.124E-003	1.577E-003	35.872	2.263	1213.613809651696 1077.7603373699126 1024.3927195671909
51	1.058E-003	1.653E-003	35.872	2.372	1213.613809651696 1077.7603373699017 1024.3927195671513
52	1.878E-003	1.592E-003	35.872	2.694	1213.613809651696 1077.7629350120715 1024.392719566917
53	1.439E-003	1.705E-003	35.872	2.447	1213.613809651696 1077.7603373699067 1024.3927195671681
54	9.485E-005	1.618E-003	35.872	2.322	1213.613809651696 1077.760337369904 1024.3927195671668
55	2.956E-003	1.619E-003	35.872	4.242	1213.613809651696 1077.7629350120842 1024.3927195669398
56	3.768E-004	1.815E-003	35.872	2.605	1213.613809651696 1077.76293501208 1024.3927195669235
57	1.352E-004	1.796E-003	35.872	2.577	1213.613809651696 1077.7629350120765 1024.3927195669203
58	1.593E-002	1.784E-003	35.872	22.857	1213.613809651696 1077.7629350122143 1024.392719567356
59	1.968E-002	2.772E-003	35.872	28.243	1213.613809651696 1077.7603373698935 1024.392719567085
60	5.484E-004	1.578E-003	35.872	2.264	1213.613809651696 1077.760337369898 1024.3927195671217
61	9.226E-004	1.593E-003	35.872	2.286	1213.613809651696 1077.7603373699094 1024.3927195671558
62	1.434E-004	1.644E-003	35.872	2.359	1213.613809651696 1077.760337369908 1024.3927195671522
63	1.169E-002	1.647E-003	35.872	16.772	1213.613809651696 1077.7629350121601 1024.3927195673255
