轮	δ K	真残差 K	放大	q=max(δ,r)·放大/0.025	当轮容差 K	qStop=max(δ,r)·放大/当轮容差	ω	Anderson	段电流 A（R）	开跑后 s
1	66.0836969910606	0	35.87323286994883	94825.43404269815	0.025	94825.43404269815	0.35		1213.7554443233782 1077.5914269443908 1024.2913952654644	340
2	22.633698575721382	66.0836969910606	35.87274063169738	94824.13288575991	0.025	94824.13288575991	0.35		1213.6503379500923 1077.6771791502779 1024.343314866936	365
3	7.027861074252087	20.891715897071435	35.87245921927758	29977.489061537126	0.025	29977.489061537126	0.35		1213.6187646774995 1077.705212751019 1024.360186592581	390
4	2.1888487486514805	6.747784382901955	35.87230466487274	9682.343087853169	0.025	9682.343087853169	0.35		1213.60944735553 1077.7144896595132 1024.365709155723	414
5	0.6881884678762162	2.2772214698393327	35.872221828636214	3267.5597487603823	0.025	3267.5597487603823	0.35		1213.6068032309597 1077.7177969255918 1024.3676237456968	439
6	0.2259330425938515	0.8357355630373604	35.872177698102256	1199.1861850359892	0.025	1199.1861850359892	0.35		1213.6061387460065 1077.71928424001 1024.3684050393508	464
7	0.08474877159255811	0.355903970134932	35.8721542642821	510.68168479802927	0.025	510.68168479802927	0.35		1213.6060492034621 1077.7202483897256 1024.3689143523002	489
8	0.040686860772439104	0.18791820995511443	35.87214160078904	269.6411454750668	0.025	269.6411454750668	0.35		1213.606113005723 1077.7210244618989 1024.3693227178296	509
9	0.026753309738978714	0.12308764931117366	35.87213454423092	176.61666867294133	0.025	176.61666867294133	0.35		1213.6062118737532 1077.7217255352639 1024.3696896463916	527
10	0.022169530345308885	0.09443877860348948	35.87213040997175	135.50880727291297	0.025	135.50880727291297	0.35		1213.6063150795533 1077.7223911154642 1024.370036631646	543
11	0.020490508943566965	0.0797389993545039	35.8721278013164	114.41630302375401	0.025	114.41630302375401	0.35		1213.606415767137 1077.7230355166246 1024.370371669142	561
12	0.019717216461685894	0.07114311913983329	35.87212599273219	102.08219733200225	0.025	102.08219733200225	0.35		1213.6065132255776 1077.7236643338908 1024.3706979796393	579
13	0.019229739120646627	0.06560058328818741	35.87212460864414	94.12929192454388	0.025	94.12929192454388	0.35		1213.606607810948 1077.7242798593038 1024.3710168827163	603
14	0.018835243970215743	0.06176408096780506	35.87212345353092	88.6243494988393	0.025	88.6243494988393	0.5249999999999999		1213.606700199571 1077.7248833353174 1024.3713291599684	629
15	0.02771095199454976	0.05895441868415219	35.87212191173744	84.59280377094075	0.025	84.59280377094075	0.26249999999999996		1213.6068357217407 1077.725771183971 1024.3717879894632	652
16	0.013472013886712375	0.05570948371223494	35.872121224692904	79.93669412361386	0.025	79.93669412361386	0.26249999999999996		1213.6069013892677 1077.726202511963 1024.3720104548302	682
17	0.013284394785159748	0.054557758124474276	35.872120556835604	78.28409907007273	0.025	78.28409907007273	0.26249999999999996		1213.606966088876 1077.7266277620922 1024.3722295708806	717
18	0.013099576563718074	0.05352074140205332	35.87211990382246	76.79609811663725	0.025	76.79609811663725	0.26249999999999996		1213.607029959424 1077.7270471131246 1024.3724454667956	756
19	0.012917485435082199	0.05257112334766134	35.87211926993406	75.43350427526892	0.025	75.43350427526892	0.26249999999999996		1213.6070929225864 1077.7274605875518 1024.3726581400952	791
20	0.01273780006454217	0.05168868890405065	35.87211863991568	74.16731122831193	0.025	74.16731122831193	0.39374999999999993		1213.6071549393369 1077.7278682259798 1024.372867583814	823
21	0.018840723593029907	0.050858208131330684	35.87211773114586	72.97566518728857	0.025	72.97566518728857	0.19687499999999997		1213.607246684568 1077.7284711305476 1024.3731770833792	853
22	0.009223811358651801	0.04967351227264771	35.87211727434393	71.27576230691925	0.025	71.27576230691925	0.19687499999999997		1213.6072916128471 1077.7287662649676 1024.373328361954	883
23	0.009127691580260944	0.04911785090257581	35.87211682440151	70.47845142962937	0.025	70.47845142962937	0.19687499999999997		1213.6073361020278 1077.7290583266285 1024.3734779692604	910
24	0.009032368117232181	0.04857546558628201	35.87211638076448	69.70019019043711	0.025	69.70019019043711	0.19687499999999997		1213.607380141984 1077.7293473308257 1024.3736259076063	925
25	0.008938144508874757	0.04804453891620142	35.872115943025044	68.93837081724624	0.025	68.93837081724624	0.19687499999999997		1213.6074237121964 1077.7296332949961 1024.373772182657	934
26	0.008845015553561097	0.047523914825887914	35.87211551089165	68.1913344865611	0.025	68.1913344865611	0.2953125		1213.6074668214508 1077.7299162566756 1024.3739168148772	947
27	0.013128951189855798	0.04701265964808954	35.87211487072706	67.4577410909865	0.025	67.4577410909865	0.15		1213.6075308027316 1077.7303362349255 1024.3741313262058	963
28	0.0065643896671190305	0.04625818478552901	35.87211455178597	66.37515614336718	0.025	66.37515614336718	0.15		1213.6075627889534 1077.7305461981928 1024.3742384512718	980
29	0.006512151283232015	0.04588384673479595	35.872114235360264	65.8380236651345	0.025	65.8380236651345	0.15		1213.6075945195735 1077.7307544794894 1024.3743446591975	992
30	0.006460392169856277	0.04551342100785405	35.872113921669566	65.30650493434597	0.025	65.30650493434597	0.15		1213.607625960781 1077.7309610688085 1024.3744499351765	1004
31	0.006409133328816097	0.045146800026486744	35.8721136109178	64.78044558878076	0.025	64.78044558878076	0.15		1213.6076571626797 1077.7311660166185 1024.3745543211935	1018
32	0.006358107520327394	0.04478391335123888	35.87211330625588	64.25974456132747	0.025	64.25974456132747	0.22499999999999998		1213.6076881546103 1077.7313693504248 1024.3746578420178	1024
33	0.009461362627234848	0.04442443386892592	35.87211285792697	63.74393221582495	0.025	63.74393221582495	0.15		1213.607734213552 1077.731671869963 1024.374811761262	1030
34	0.006232378040522235	0.04389029887556717	35.87211255396213	62.97750965165532	0.025	62.97750965165532	0.15		1213.60776456161 1077.7318711367984 1024.3749130560202	1036
35	0.006182844322893288	0.043539132084788434	35.87211225319201	62.47362534208337	0.025	62.47362534208337	0.15		1213.6077946920645 1077.7320688270963 1024.3750134999632	1040
36	0.006133705496267794	0.04319110659503167	35.87211195546952	61.97424845030376	0.025	61.97424845030376	0.15		1213.607824583827 1077.7322649373511 1024.3751130863818	1046
37	0.006084956322411017	0.04284614610196513	35.87211166066256	61.4792694879502	0.025	61.4792694879502	0.15		1213.6078542131916 1077.7324594619681 1024.3752118064326	1052
38	0.006036593925728084	0.04250418050901317	35.87211136868771	60.988587874165034	0.025	60.988587874165034	0.22499999999999998		1213.6078836336276 1077.732652449951 1024.375309698395	1058
39	0.008983056912938991	0.04216514735844612	35.87211093474802	60.50211374488706	0.025	60.50211374488706	0.15		1213.6079274308868 1077.732939634285 1024.3754552985424	1065
40	0.005917223418009598	0.04166104611567789	35.87211064952962	59.77878624147014	0.025	59.77878624147014	0.15		1213.6079562736795 1077.7331287863885 1024.3755511149013	1070
